Genotype	TimePoint	N	Temp	sd	se	ci	Phase	ANOVA_pValue	Sign
112L2	 77	4	21.500	0.271	0.135	0.431	DARK	0.5953985	.
112L2	 78	4	21.475	0.250	0.125	0.398	DARK	0.5515957	.
112L2	 79	4	21.500	0.271	0.135	0.431	DARK	0.6712546	.
112L2	 80	4	21.500	0.271	0.135	0.431	DARK	0.7585075	.
112L2	 81	4	21.525	0.287	0.144	0.457	DARK	0.7219804	.
112L2	 82	4	21.475	0.250	0.125	0.398	DARK	0.6703357	.
112L2	 83	4	21.500	0.271	0.135	0.431	DARK	0.6975423	.
112L2	 84	4	21.525	0.222	0.111	0.353	DARK	0.7576730	.
112L2	 85	4	21.500	0.271	0.135	0.431	DARK	0.6975423	.
112L2	 86	4	21.500	0.271	0.135	0.431	DARK	0.7804036	.
112L2	 87	4	21.500	0.271	0.135	0.431	LIGHT	0.7804036	.
112L2	 88	4	21.500	0.271	0.135	0.431	LIGHT	0.7898272	.
112L2	 89	4	21.525	0.287	0.144	0.457	LIGHT	0.6983450	.
112L2	 90	4	21.475	0.250	0.125	0.398	LIGHT	0.7010752	.
112L2	 91	4	21.475	0.250	0.125	0.398	LIGHT	0.7010752	.
112L2	 92	4	21.450	0.238	0.119	0.379	LIGHT	0.6792670	.
112L2	 93	4	21.475	0.250	0.125	0.398	LIGHT	0.7531793	.
112L2	 94	4	21.525	0.287	0.144	0.457	LIGHT	0.7562851	.
112L2	 95	4	21.575	0.320	0.160	0.509	LIGHT	0.8009253	.
112L2	 96	4	21.575	0.320	0.160	0.509	LIGHT	0.6478288	.
112L2	 97	4	21.575	0.320	0.160	0.509	LIGHT	0.7121067	.
112L2	 98	4	21.600	0.346	0.173	0.551	LIGHT	0.7783062	.
112L2	 99	4	21.600	0.346	0.173	0.551	LIGHT	0.7783062	.
112L2	100	4	21.625	0.359	0.180	0.572	LIGHT	0.7533472	.
112L2	101	4	21.600	0.346	0.173	0.551	LIGHT	0.7236735	.
112L2	102	4	21.575	0.320	0.160	0.509	LIGHT	0.7266483	.
112L2	103	4	21.575	0.320	0.160	0.509	LIGHT	0.6692885	.
112L2	104	4	21.575	0.320	0.160	0.509	LIGHT	0.7606356	.
112L2	105	4	21.575	0.320	0.160	0.509	DARK	0.6814861	.
112L2	106	4	21.625	0.359	0.180	0.572	DARK	0.8560683	.
112L2	107	4	21.600	0.408	0.204	0.650	DARK	0.8342620	.
112L2	108	4	21.625	0.435	0.217	0.692	DARK	0.8738663	.
112L2	109	4	21.650	0.451	0.225	0.718	DARK	0.9080714	.
112L2	110	4	21.625	0.435	0.217	0.692	DARK	0.8707874	.
112L2	111	4	21.625	0.499	0.250	0.794	DARK	0.8807669	.
WT	  1	4	21.775	0.457	0.229	0.728	DARK	0.6697164	.
WT	  2	4	21.775	0.532	0.266	0.846	DARK	0.7035311	.
WT	  3	4	21.750	0.551	0.275	0.876	DARK	0.7432510	.
WT	  4	4	21.725	0.538	0.269	0.856	DARK	0.7653944	.
WT	  5	4	21.800	0.497	0.248	0.790	DARK	0.6509529	.
WT	  6	4	21.800	0.497	0.248	0.790	DARK	0.6509529	.
WT	  7	4	21.800	0.497	0.248	0.790	DARK	0.6672302	.
WT	  8	4	21.800	0.497	0.248	0.790	DARK	0.6876836	.
WT	  9	4	21.800	0.497	0.248	0.790	DARK	0.7052840	.
WT	 10	4	21.775	0.532	0.266	0.846	DARK	0.7221356	.
WT	 11	4	21.775	0.532	0.266	0.846	DARK	0.7007423	.
WT	 12	4	21.775	0.532	0.266	0.846	DARK	0.7007423	.
WT	 13	4	21.775	0.532	0.266	0.846	LIGHT	0.7540747	.
WT	 14	4	21.800	0.490	0.245	0.780	LIGHT	0.7022348	.
WT	 15	4	21.800	0.490	0.245	0.780	LIGHT	0.7022348	.
