Genotype	TimePoint	N	VCO2.2.	sd	se	ci	Phase	ANOVA_pValue	Sign
112L2	 77	4	1093.50	258.624	129.312	411.528	DARK	0.56043162	.
112L2	 78	4	1167.50	139.297	 69.649	221.653	DARK	0.42376953	.
112L2	 79	4	1102.25	162.007	 81.003	257.789	DARK	0.40165092	.
112L2	 80	4	1080.00	192.293	 96.147	305.981	DARK	0.87647861	.
112L2	 81	4	1001.75	189.679	 94.840	301.822	DARK	0.37241952	.
112L2	 82	4	1354.75	 78.699	 39.350	125.228	DARK	0.01598933	*
112L2	 83	4	1068.25	225.022	112.511	358.060	DARK	0.54366758	.
112L2	 84	4	1006.25	180.406	 90.203	287.066	DARK	0.42617111	.
112L2	 85	4	1041.00	264.729	132.364	421.243	DARK	0.46790793	.
112L2	 86	4	1073.00	230.955	115.477	367.500	DARK	0.66003736	.
112L2	 87	4	 884.75	169.752	 84.876	270.113	LIGHT	0.41971359	.
112L2	 88	4	 888.75	 98.831	 49.416	157.262	LIGHT	0.99338252	.
112L2	 89	4	 882.75	222.028	111.014	353.295	LIGHT	0.83569888	.
112L2	 90	4	1126.25	193.834	 96.917	308.433	LIGHT	0.03176536	*
112L2	 91	4	 990.75	181.267	 90.633	288.436	LIGHT	0.50504963	.
112L2	 92	4	 937.75	290.205	145.102	461.781	LIGHT	0.43251974	.
112L2	 93	4	 981.00	381.267	190.634	606.681	LIGHT	0.13146184	.
112L2	 94	4	 893.00	263.608	131.804	419.460	LIGHT	0.86931159	.
112L2	 95	4	 700.00	136.960	 68.480	217.934	LIGHT	0.44998245	.
112L2	 96	4	 765.75	250.920	125.460	399.270	LIGHT	0.48737769	.
112L2	 97	4	 772.75	228.335	114.168	363.332	LIGHT	0.55305275	.
112L2	 98	4	 653.00	102.869	 51.434	163.687	LIGHT	0.78037414	.
112L2	 99	4	 779.25	153.880	 76.940	244.857	LIGHT	0.18677521	.
112L2	100	4	 701.25	113.274	 56.637	180.244	LIGHT	0.38789698	.
112L2	101	4	 698.50	107.631	 53.815	171.264	LIGHT	0.45535884	.
112L2	102	4	 820.75	121.478	 60.739	193.299	LIGHT	0.73541264	.
112L2	103	4	 782.25	248.536	124.268	395.477	LIGHT	0.81193473	.
112L2	104	4	 746.25	130.725	 65.362	208.012	LIGHT	0.04892317	*
112L2	105	4	 757.50	 88.666	 44.333	141.087	DARK	0.84050664	.
112L2	106	4	 782.25	186.672	 93.336	297.036	DARK	0.07698103	.
112L2	107	4	 851.25	269.459	134.730	428.770	DARK	0.40527553	.
112L2	108	4	 866.50	278.106	139.053	442.529	DARK	0.36416073	.
112L2	109	4	 806.75	237.364	118.682	377.699	DARK	0.15189097	.
112L2	110	4	 927.00	239.767	119.883	381.522	DARK	0.13524755	.
112L2	111	4	1008.50	343.768	171.884	547.011	DARK	0.54781271	.
