Genotype	TimePoint	N	O2	sd	se	ci	Phase	ANOVA_pValue	Sign
112L2	 66	4	20.407	0.041	0.021	0.065	LIGHT	0.487939139	.
112L2	 67	4	20.445	0.019	0.010	0.030	LIGHT	0.426863756	.
112L2	 68	4	20.450	0.042	0.021	0.068	LIGHT	0.603763974	.
112L2	 69	4	20.398	0.057	0.028	0.090	DARK	0.576376200	.
112L2	 70	4	20.372	0.105	0.052	0.167	DARK	0.220847430	.
112L2	 71	4	20.312	0.050	0.025	0.079	DARK	0.432724701	.
112L2	 72	4	20.308	0.089	0.044	0.141	DARK	0.231462107	.
112L2	 73	4	20.345	0.099	0.049	0.157	DARK	0.548049222	.
112L2	 74	4	20.355	0.128	0.064	0.203	DARK	0.740265671	.
112L2	 75	4	20.373	0.041	0.021	0.065	DARK	0.727215763	.
112L2	 76	4	20.345	0.042	0.021	0.067	DARK	0.062617459	.
112L2	 77	4	20.280	0.071	0.035	0.113	DARK	0.137372639	.
112L2	 78	4	20.247	0.033	0.017	0.053	DARK	0.062207763	.
112L2	 79	4	20.285	0.068	0.034	0.108	DARK	0.158717711	.
112L2	 80	4	20.290	0.047	0.023	0.075	DARK	0.437556412	.
112L2	 81	4	20.343	0.078	0.039	0.124	DARK	0.703800110	.
112L2	 82	4	20.183	0.048	0.024	0.076	DARK	0.003227033	***
112L2	 83	4	20.310	0.094	0.047	0.149	DARK	0.087464662	.
112L2	 84	4	20.328	0.065	0.033	0.103	DARK	0.090752297	.
112L2	 85	4	20.315	0.105	0.052	0.167	DARK	0.182680038	.
112L2	 86	4	20.303	0.087	0.044	0.139	DARK	0.303472898	.
112L2	 87	4	20.378	0.086	0.043	0.137	LIGHT	0.896894349	.
112L2	 88	4	20.378	0.067	0.033	0.106	LIGHT	0.412188840	.
112L2	 89	4	20.385	0.108	0.054	0.171	LIGHT	0.579552614	.
112L2	 90	4	20.268	0.091	0.046	0.145	LIGHT	0.009214199	**
112L2	 91	4	20.328	0.089	0.045	0.142	LIGHT	0.115114152	.
112L2	 92	4	20.355	0.127	0.063	0.201	LIGHT	0.116477743	.
112L2	 93	4	20.332	0.162	0.081	0.258	LIGHT	0.036410491	*
112L2	 94	4	20.380	0.100	0.050	0.160	LIGHT	0.406804216	.
112L2	 95	4	20.463	0.037	0.018	0.059	LIGHT	0.021602344	*
112L2	 96	4	20.428	0.090	0.045	0.143	LIGHT	0.199738936	.
112L2	 97	4	20.418	0.087	0.043	0.138	LIGHT	0.299677497	.
112L2	 98	4	20.475	0.031	0.016	0.049	LIGHT	0.481171132	.
112L2	 99	4	20.413	0.046	0.023	0.074	LIGHT	0.038845482	*
112L2	100	4	20.440	0.024	0.012	0.039	LIGHT	0.191619561	.
112L2	101	4	20.440	0.044	0.022	0.070	LIGHT	0.046510209	*
112L2	102	4	20.385	0.068	0.034	0.108	LIGHT	0.078427192	.
112L2	103	4	20.395	0.117	0.059	0.186	LIGHT	0.295452195	.
112L2	104	4	20.422	0.056	0.028	0.088	LIGHT	0.152591785	.
112L2	105	4	20.410	0.041	0.020	0.065	DARK	0.150310374	.
112L2	106	4	20.400	0.069	0.035	0.110	DARK	0.532614829	.
112L2	107	4	20.370	0.085	0.043	0.136	DARK	0.925108930	.
112L2	108	4	20.373	0.092	0.046	0.147	DARK	0.470189424	.
112L2	109	4	20.400	0.073	0.037	0.117	DARK	0.978698999	.
112L2	110	4	20.345	0.083	0.042	0.133	DARK	0.843110458	.
112L2	111	4	20.292	0.168	0.084	0.268	DARK	0.334843199	.
WT	  1	4	20.405	0.059	0.030	0.094	DARK	0.366256470	.
WT	  2	4	20.402	0.097	0.049	0.155	DARK	0.434084966	.
