Genotype	TimePoint	N	VO2.1.	sd	se	ci	Phase	ANOVA_pValue	Sign
WT	 25	4	1933.75	 623.544	311.772	 992.198	LIGHT	0.30409042	.
WT	 26	4	1687.50	 480.947	240.474	 765.295	LIGHT	0.44523849	.
WT	 27	4	2265.75	 606.241	303.120	 964.664	LIGHT	0.62850325	.
WT	 28	4	1657.00	 392.790	196.395	 625.017	LIGHT	0.54511389	.
WT	 29	4	1886.50	 377.725	188.863	 601.045	LIGHT	0.98736706	.
WT	 30	4	2059.00	 362.445	181.223	 576.732	LIGHT	0.67498865	.
WT	 31	4	2107.75	 338.172	169.086	 538.107	LIGHT	0.82976328	.
WT	 32	4	2577.75	 182.416	 91.208	 290.265	DARK	0.47416676	.
WT	 33	4	2603.75	 386.180	193.090	 614.498	DARK	0.67484172	.
WT	 34	4	2437.75	 417.069	208.534	 663.649	DARK	0.22517180	.
WT	 35	4	2619.25	 492.957	246.478	 784.404	DARK	0.09908871	.
WT	 36	4	2302.25	 584.355	292.178	 929.839	DARK	0.41970542	.
WT	 37	4	2247.00	 402.278	201.139	 640.114	DARK	0.34398252	.
WT	 38	4	2815.25	1009.010	504.505	1605.559	DARK	0.48182969	.
WT	 39	4	2481.25	 377.572	188.786	 600.802	DARK	0.94266963	.
WT	 40	4	2030.75	 380.532	190.266	 605.511	DARK	0.15421922	.
WT	 41	4	2577.00	 579.488	289.744	 922.094	DARK	0.73107032	.
WT	 42	4	2163.25	 602.580	301.290	 958.840	DARK	0.13221178	.
WT	 43	4	1919.25	 554.278	277.139	 881.979	DARK	0.10242289	.
WT	 44	4	2198.00	 466.165	233.083	 741.773	DARK	0.17288052	.
WT	 45	4	2095.75	 459.864	229.932	 731.746	DARK	0.35484009	.
WT	 46	4	2378.75	 508.919	254.459	 809.803	DARK	0.83302283	.
WT	 47	4	2062.75	 404.754	202.377	 644.054	DARK	0.53097662	.
WT	 48	4	2160.75	 589.337	294.669	 937.767	DARK	0.61844356	.
WT	 49	4	2305.00	 516.245	258.122	 821.461	DARK	0.55862738	.
WT	 50	4	2425.75	 557.770	278.885	 887.537	LIGHT	0.92190236	.
WT	 51	4	2232.25	 539.437	269.718	 858.365	LIGHT	0.71123866	.
WT	 52	4	2106.75	 621.854	310.927	 989.508	LIGHT	0.31330466	.
WT	 53	4	1897.50	 423.680	211.840	 674.169	LIGHT	0.33923231	.
WT	 54	4	2010.25	 295.253	147.626	 469.813	LIGHT	0.35344029	.
WT	 55	4	1918.75	 473.416	236.708	 753.310	LIGHT	0.82453566	.
WT	 56	4	1835.50	 366.193	183.096	 582.694	LIGHT	0.74040187	.
WT	 57	4	1771.25	 248.281	124.141	 395.071	LIGHT	0.53393310	.
WT	 58	4	2202.00	 741.037	370.518	1179.155	LIGHT	0.70070332	.
WT	 59	4	1775.75	 544.434	272.217	 866.316	LIGHT	0.46593709	.
WT	 60	4	1677.75	 333.862	166.931	 531.248	LIGHT	0.63318580	.
