Genotype	TimePoint	N	H.3.	sd	se	ci	Phase	ANOVA_pValue	Sign
112L2	 40	4	0.569	0.097	0.048	0.154	DARK	0.048704172	*
112L2	 41	4	0.521	0.100	0.050	0.159	DARK	0.479849038	.
112L2	 42	4	0.600	0.067	0.033	0.106	DARK	0.040688820	*
112L2	 43	4	0.550	0.087	0.043	0.138	DARK	0.080848658	.
112L2	 44	4	0.554	0.110	0.055	0.175	DARK	0.188612389	.
112L2	 45	4	0.480	0.102	0.051	0.163	DARK	0.563605711	.
112L2	 46	4	0.485	0.109	0.054	0.173	DARK	0.803469653	.
112L2	 47	4	0.488	0.084	0.042	0.134	DARK	0.053499430	.
112L2	 48	4	0.531	0.096	0.048	0.153	DARK	0.056603036	.
112L2	 49	4	0.592	0.064	0.032	0.102	DARK	0.090430514	.
112L2	 50	4	0.543	0.153	0.076	0.243	LIGHT	0.139210048	.
112L2	 51	4	0.420	0.107	0.053	0.170	LIGHT	0.880191892	.
112L2	 52	4	0.491	0.032	0.016	0.051	LIGHT	0.075217387	.
112L2	 53	4	0.510	0.088	0.044	0.140	LIGHT	0.010130953	*
112L2	 54	4	0.488	0.130	0.065	0.207	LIGHT	0.064264122	.
112L2	 55	4	0.472	0.114	0.057	0.181	LIGHT	0.231189125	.
112L2	 56	4	0.437	0.066	0.033	0.104	LIGHT	0.100189275	.
112L2	 57	4	0.437	0.046	0.023	0.073	LIGHT	0.021047965	*
112L2	 58	4	0.409	0.065	0.033	0.104	LIGHT	0.828513953	.
112L2	 59	4	0.498	0.206	0.103	0.328	LIGHT	0.127866894	.
112L2	 60	4	0.407	0.116	0.058	0.184	LIGHT	0.210817827	.
112L2	 61	4	0.394	0.067	0.033	0.106	LIGHT	0.074816958	.
112L2	 62	4	0.350	0.041	0.021	0.065	LIGHT	0.718201153	.
112L2	 63	4	0.399	0.094	0.047	0.150	LIGHT	0.165324058	.
112L2	 64	4	0.428	0.047	0.024	0.075	LIGHT	0.079318005	.
112L2	 65	4	0.485	0.108	0.054	0.171	LIGHT	0.010947464	*
112L2	 66	4	0.426	0.044	0.022	0.070	LIGHT	0.489700355	.
112L2	 67	4	0.374	0.021	0.010	0.033	LIGHT	0.423142290	.
112L2	 68	4	0.368	0.046	0.023	0.073	LIGHT	0.595250521	.
112L2	 69	4	0.436	0.061	0.031	0.097	DARK	0.588867346	.
112L2	 70	4	0.464	0.115	0.057	0.182	DARK	0.224809641	.
112L2	 71	4	0.528	0.055	0.027	0.087	DARK	0.421539059	.
112L2	 72	4	0.534	0.097	0.048	0.154	DARK	0.229213698	.
112L2	 73	4	0.494	0.108	0.054	0.172	DARK	0.542438368	.
112L2	 74	4	0.480	0.134	0.067	0.213	DARK	0.749948789	.
112L2	 75	4	0.463	0.045	0.022	0.071	DARK	0.730340945	.
112L2	 76	4	0.504	0.045	0.023	0.072	DARK	0.064254013	.
112L2	 77	4	0.575	0.078	0.039	0.123	DARK	0.135119677	.
112L2	 78	4	0.610	0.036	0.018	0.058	DARK	0.060649243	.
112L2	 79	4	0.569	0.074	0.037	0.118	DARK	0.162931955	.
112L2	 80	4	0.564	0.052	0.026	0.083	DARK	0.443951881	.
112L2	 81	4	0.507	0.084	0.042	0.134	DARK	0.701615483	.
112L2	 82	4	0.676	0.047	0.024	0.075	DARK	0.003308834	***
112L2	 83	4	0.540	0.096	0.048	0.153	DARK	0.084992950	.
112L2	 84	4	0.523	0.071	0.035	0.113	DARK	0.090643125	.
112L2	 85	4	0.537	0.114	0.057	0.182	DARK	0.183848061	.
112L2	 86	4	0.539	0.095	0.047	0.150	DARK	0.305199872	.
112L2	 87	4	0.458	0.094	0.047	0.149	LIGHT	0.896727267	.
112L2	 88	4	0.458	0.071	0.036	0.114	LIGHT	0.406022978	.
112L2	 89	4	0.460	0.117	0.058	0.186	LIGHT	0.591788939	.
112L2	 90	4	0.586	0.096	0.048	0.152	LIGHT	0.008939051	**
112L2	 91	4	0.502	0.097	0.048	0.154	LIGHT	0.112569145	.
112L2	 92	4	0.483	0.137	0.069	0.218	LIGHT	0.112598447	.
112L2	 93	4	0.518	0.176	0.088	0.279	LIGHT	0.036094553	*
112L2	 94	4	0.476	0.108	0.054	0.172	LIGHT	0.404115186	.
112L2	 95	4	0.387	0.041	0.020	0.064	LIGHT	0.020700676	*
