Genotype	TimePoint	N	dO2	sd	se	ci	Phase	ANOVA_pValue	Sign
112L2	 80	4	0.534	0.048	0.024	0.077	DARK	0.436006163	.
112L2	 81	4	0.480	0.080	0.040	0.127	DARK	0.704557995	.
112L2	 82	4	0.638	0.044	0.022	0.070	DARK	0.003444093	***
112L2	 83	4	0.510	0.091	0.045	0.145	DARK	0.086886573	.
112L2	 84	4	0.495	0.067	0.033	0.106	DARK	0.091348786	.
112L2	 85	4	0.508	0.107	0.054	0.171	DARK	0.183058037	.
112L2	 86	4	0.510	0.089	0.045	0.142	DARK	0.304547041	.
112L2	 87	4	0.434	0.089	0.044	0.141	LIGHT	0.896657644	.
112L2	 88	4	0.434	0.068	0.034	0.109	LIGHT	0.410524308	.
112L2	 89	4	0.436	0.111	0.055	0.176	LIGHT	0.590153594	.
112L2	 90	4	0.554	0.090	0.045	0.143	LIGHT	0.009093414	**
112L2	 91	4	0.475	0.091	0.046	0.145	LIGHT	0.111046974	.
112L2	 92	4	0.457	0.130	0.065	0.207	LIGHT	0.113728115	.
112L2	 93	4	0.490	0.166	0.083	0.265	LIGHT	0.036205554	*
112L2	 94	4	0.451	0.103	0.051	0.164	LIGHT	0.408563352	.
112L2	 95	4	0.366	0.038	0.019	0.060	LIGHT	0.022018399	*
112L2	 96	4	0.392	0.092	0.046	0.147	LIGHT	0.199344819	.
112L2	 97	4	0.393	0.089	0.045	0.142	LIGHT	0.295304599	.
112L2	 98	4	0.334	0.032	0.016	0.050	LIGHT	0.481938778	.
112L2	 99	4	0.388	0.048	0.024	0.076	LIGHT	0.039717597	*
112L2	100	4	0.370	0.025	0.013	0.040	LIGHT	0.190474640	.
112L2	101	4	0.359	0.045	0.022	0.071	LIGHT	0.043166089	*
112L2	102	4	0.426	0.070	0.035	0.111	LIGHT	0.079644699	.
112L2	103	4	0.405	0.120	0.060	0.191	LIGHT	0.294246644	.
112L2	104	4	0.387	0.057	0.029	0.091	LIGHT	0.154580248	.
112L2	105	4	0.390	0.042	0.021	0.067	DARK	0.148913776	.
112L2	106	4	0.400	0.071	0.036	0.113	DARK	0.535500417	.
112L2	107	4	0.431	0.087	0.044	0.139	DARK	0.923728618	.
112L2	108	4	0.428	0.095	0.047	0.150	DARK	0.468687290	.
112L2	109	4	0.410	0.075	0.038	0.120	DARK	0.978771194	.
112L2	110	4	0.467	0.086	0.043	0.136	DARK	0.841723195	.
112L2	111	4	0.518	0.167	0.084	0.266	DARK	0.331433347	.
WT	  1	4	0.416	0.061	0.030	0.097	DARK	0.368872655	.
WT	  2	4	0.408	0.100	0.050	0.159	DARK	0.436344238	.
WT	  3	4	0.459	0.112	0.056	0.178	DARK	0.659771776	.
WT	  4	4	0.397	0.098	0.049	0.156	DARK	0.227591008	.
WT	  5	4	0.380	0.075	0.038	0.120	DARK	0.008759820	**
WT	  6	4	0.351	0.024	0.012	0.038	DARK	0.004547668	***
WT	  7	4	0.357	0.058	0.029	0.093	DARK	0.061612648	.
WT	  8	4	0.349	0.115	0.057	0.182	DARK	0.085770021	.
WT	  9	4	0.349	0.051	0.026	0.081	DARK	0.030964843	*
WT	 10	4	0.328	0.043	0.022	0.069	DARK	0.026649623	*
WT	 11	4	0.313	0.054	0.027	0.086	DARK	0.024318647	*
WT	 12	4	0.372	0.073	0.036	0.116	DARK	0.006851116	**
WT	 13	4	0.400	0.107	0.054	0.171	LIGHT	0.019664074	*
WT	 14	4	0.444	0.112	0.056	0.178	LIGHT	0.127221781	.
WT	 15	4	0.382	0.164	0.082	0.261	LIGHT	0.721083098	.
WT	 16	4	0.285	0.068	0.034	0.109	LIGHT	0.035867887	*
WT	 17	4	0.297	0.052	0.026	0.082	LIGHT	0.011115224	*
WT	 18	4	0.328	0.137	0.069	0.218	LIGHT	0.135209883	.
WT	 19	4	0.336	0.083	0.042	0.133	LIGHT	0.111413761	.
