Genotype	TimePoint	N	XF	sd	se	ci	Phase	ANOVA_pValue	Sign
112L2	 62	4	 150.75	 142.547	 71.273	 226.824	LIGHT	0.450273088	.
112L2	 63	4	 156.25	 176.379	 88.190	 280.658	LIGHT	0.857812014	.
112L2	 64	4	 231.00	 182.578	 91.289	 290.522	LIGHT	0.726457549	.
112L2	 65	4	 345.25	 333.038	166.519	 529.938	LIGHT	0.972888934	.
112L2	 66	4	  80.50	 111.972	 55.986	 178.172	LIGHT	0.060528985	.
112L2	 67	4	 260.75	 297.782	148.891	 473.838	LIGHT	0.357214105	.
112L2	 68	4	 208.75	 169.128	 84.564	 269.120	LIGHT	0.406673124	.
112L2	 69	4	 266.75	 418.994	209.497	 666.712	DARK	0.063440132	.
112L2	 70	4	 391.25	 347.003	173.501	 552.159	DARK	0.089574525	.
112L2	 71	4	 595.50	 230.925	115.462	 367.453	DARK	0.926105941	.
112L2	 72	4	 244.75	 280.285	140.142	 445.996	DARK	0.023525957	*
112L2	 73	4	 306.25	 243.203	121.601	 386.990	DARK	0.095013626	.
112L2	 74	4	 287.50	 193.717	 96.859	 308.247	DARK	0.259441068	.
112L2	 75	4	 211.00	 159.485	 79.742	 253.776	DARK	0.019983024	*
112L2	 76	4	 341.25	 279.537	139.768	 444.806	DARK	0.230922616	.
112L2	 77	4	 771.50	 507.558	253.779	 807.638	DARK	0.565372122	.
112L2	 78	4	 678.75	 135.925	 67.962	 216.287	DARK	0.012556289	*
112L2	 79	4	 554.50	 145.094	 72.547	 230.877	DARK	0.524432809	.
112L2	 80	4	 575.25	 262.896	131.448	 418.326	DARK	0.879019477	.
112L2	 81	4	 675.25	 385.209	192.605	 612.954	DARK	0.052113491	.
112L2	 82	4	 656.75	 255.879	127.940	 407.161	DARK	0.556109780	.
112L2	 83	4	 422.50	 609.735	304.867	 970.224	DARK	0.884842128	.
112L2	 84	4	 297.00	 167.210	 83.605	 266.069	DARK	0.021454047	*
112L2	 85	4	 534.75	 606.675	303.338	 965.356	DARK	0.468840975	.
112L2	 86	4	 631.75	 363.691	181.845	 578.713	DARK	0.885366343	.
112L2	 87	4	 295.25	 194.557	 97.278	 309.583	LIGHT	0.530422389	.
112L2	 88	4	 347.25	 256.832	128.416	 408.678	LIGHT	0.629054144	.
112L2	 89	4	 484.00	 331.346	165.673	 527.245	LIGHT	0.988031375	.
112L2	 90	4	 903.00	 402.258	201.129	 640.082	LIGHT	0.008337092	**
112L2	 91	4	 440.25	 366.882	183.441	 583.791	LIGHT	0.867081300	.
112L2	 92	4	 585.50	 521.363	260.682	 829.605	LIGHT	0.086499356	.
112L2	 93	4	 366.00	 376.702	188.351	 599.418	LIGHT	0.175642699	.
112L2	 94	4	 234.75	  78.885	 39.443	 125.524	LIGHT	0.485195892	.
112L2	 95	4	 184.00	 145.453	 72.727	 231.449	LIGHT	0.745612313	.
112L2	 96	4	 298.75	 241.883	120.942	 384.890	LIGHT	0.394424761	.
112L2	 97	4	 204.75	  44.955	 22.477	  71.533	LIGHT	0.393952824	.
112L2	 98	4	 189.00	 150.521	 75.261	 239.513	LIGHT	0.733444406	.
112L2	 99	4	 175.75	 248.823	124.412	 395.933	LIGHT	0.567644563	.
112L2	100	4	 184.00	 245.017	122.509	 389.877	LIGHT	0.576195421	.
112L2	101	4	 355.75	 201.033	100.516	 319.888	LIGHT	0.687743771	.
112L2	102	4	 291.00	 169.774	 84.887	 270.149	LIGHT	0.535643103	.
112L2	103	4	 414.75	 472.297	236.149	 751.531	LIGHT	0.990498890	.
112L2	104	4	 118.50	  74.679	 37.340	 118.831	LIGHT	0.100023323	.
112L2	105	4	 176.00	  95.520	 47.760	 151.993	DARK	0.042745088	*
112L2	106	4	 330.75	 469.768	234.884	 747.505	DARK	0.140512768	.
112L2	107	4	 446.25	 316.144	158.072	 503.055	DARK	0.180179706	.
112L2	108	4	 288.75	 165.006	 82.503	 262.561	DARK	0.002884600	***
112L2	109	4	 171.75	 139.117	 69.559	 221.366	DARK	0.006862928	**
112L2	110	4	 399.50	 354.866	177.433	 564.671	DARK	0.105971114	.
112L2	111	4	 395.50	 228.416	114.208	 363.460	DARK	0.169317851	.
WT	  1	4	 279.00	 291.512	145.756	 463.861	DARK	0.017647076	*
WT	  2	4	 843.75	 278.860	139.430	 443.729	DARK	0.149361853	.
WT	  3	4	 917.75	 463.214	231.607	 737.077	DARK	0.598795762	.
WT	  4	4	 767.00	 759.648	379.824	1208.769	DARK	0.752594767	.
WT	  5	4	 371.75	 344.158	172.079	 547.633	DARK	0.035614094	*
WT	  6	4	 336.50	 271.785	135.892	 432.470	DARK	0.310805446	.
WT	  7	4	 353.25	 182.781	 91.391	 290.845	DARK	0.739977255	.
WT	  8	4	 401.75	 243.214	121.607	 387.007	DARK	0.633122034	.
WT	  9	4	 286.75	 294.819	147.410	 469.123	DARK	0.525958266	.
WT	 10	4	 366.00	 228.127	114.064	 363.001	DARK	0.276373454	.
WT	 11	4	 234.50	 160.633	 80.317	 255.603	DARK	0.240172319	.
WT	 12	4	 436.50	 281.264	140.632	 447.554	DARK	0.910344125	.
WT	 13	4	 967.50	 345.304	172.652	 549.456	LIGHT	0.178543760	.
WT	 14	4	 611.00	 507.228	253.614	 807.114	LIGHT	0.462501241	.
WT	 15	4	 259.00	 211.879	105.939	 337.147	LIGHT	0.420971130	.
WT	 16	4	  87.00	  44.781	 22.390	  71.256	LIGHT	0.583478626	.
WT	 17	4	 374.50	 386.542	193.271	 615.074	LIGHT	0.431592706	.
WT	 18	4	 419.00	 473.263	236.632	 753.067	LIGHT	0.913911674	.
WT	 19	4	 489.75	 337.216	168.608	 536.587	LIGHT	0.335755544	.
WT	 20	4	 396.25	 260.056	130.028	 413.806	LIGHT	0.333587640	.
WT	 21	4	 154.75	  35.976	 17.988	  57.245	LIGHT	0.666585067	.
WT	 22	4	 248.00	 132.597	 66.299	 210.992	LIGHT	0.570306263	.
WT	 23	4	 166.25	  51.097	 25.549	  81.307	LIGHT	0.602203529	.
WT	 24	4	 500.25	 301.883	150.942	 480.364	LIGHT	0.404447566	.
WT	 25	4	 162.25	  61.846	 30.923	  98.411	LIGHT	0.114474069	.
WT	 26	4	 311.50	 235.418	117.709	 374.603	LIGHT	0.778349101	.
