Genotype	TimePoint	N	CenF	sd	se	ci	Phase	ANOVA_pValue	Sign
112L2	 40	4	 534.75	255.487	127.743	 406.537	DARK	0.0186069276	*
112L2	 41	4	 555.25	398.283	199.142	 633.758	DARK	0.7214221733	.
112L2	 42	4	 699.75	467.194	233.597	 743.410	DARK	0.2823739296	.
112L2	 43	4	 713.00	468.283	234.142	 745.143	DARK	0.1331926985	.
112L2	 44	4	 340.75	300.790	150.395	 478.625	DARK	0.1314399214	.
112L2	 45	4	 340.75	395.371	197.686	 629.124	DARK	0.1762077392	.
112L2	 46	4	 389.00	308.500	154.250	 490.892	DARK	0.9314522036	.
112L2	 47	4	 322.75	334.791	167.395	 532.727	DARK	0.6866742096	.
112L2	 48	4	 395.25	344.433	172.217	 548.070	DARK	0.4937550865	.
112L2	 49	4	 452.75	193.803	 96.901	 308.384	DARK	0.6079721743	.
112L2	 50	4	 389.25	514.838	257.419	 819.222	LIGHT	0.4127698343	.
112L2	 51	4	 210.00	403.505	201.753	 642.067	LIGHT	0.5331868089	.
112L2	 52	4	 522.50	618.547	309.274	 984.247	LIGHT	0.4104055679	.
112L2	 53	4	 701.00	605.889	302.945	 964.105	LIGHT	0.1710284973	.
112L2	 54	4	 449.25	356.333	178.166	 567.005	LIGHT	0.4591070325	.
112L2	 55	4	 381.00	308.412	154.206	 490.752	LIGHT	0.2930286790	.
112L2	 56	4	 244.00	388.721	194.360	 618.542	LIGHT	0.6837256639	.
112L2	 57	4	 172.75	345.500	172.750	 549.768	LIGHT	0.8727245142	.
112L2	 58	4	  70.00	140.000	 70.000	 222.771	LIGHT	0.6341526121	.
112L2	 59	4	 249.25	198.953	 99.476	 316.578	LIGHT	0.0668426094	.
112L2	 60	4	 144.00	288.000	144.000	 458.272	LIGHT	0.9634175073	.
112L2	 61	4	   0.00	  0.000	  0.000	   0.000	LIGHT	0.2587085683	.
112L2	 62	4	   0.00	  0.000	  0.000	   0.000	LIGHT	0.3133950267	.
112L2	 63	4	   9.50	 19.000	  9.500	  30.233	LIGHT	0.3442917618	.
112L2	 64	4	 125.50	223.255	111.628	 355.249	LIGHT	0.6354488129	.
112L2	 65	4	 283.00	313.026	156.513	 498.094	LIGHT	0.9814145655	.
112L2	 66	4	   8.00	 16.000	  8.000	  25.460	LIGHT	0.1233858318	.
112L2	 67	4	   0.00	  0.000	  0.000	   0.000	LIGHT	0.1293277038	.
112L2	 68	4	   0.00	  0.000	  0.000	   0.000	LIGHT	0.0654528379	.
112L2	 69	4	  99.25	187.985	 93.992	 299.126	DARK	0.0332953129	*
112L2	 70	4	 263.25	313.281	156.640	 498.500	DARK	0.2272025690	.
112L2	 71	4	 596.25	362.029	181.014	 576.069	DARK	0.4520050468	.
112L2	 72	4	 264.75	456.067	228.033	 725.704	DARK	0.0565793617	.
112L2	 73	4	 158.00	270.743	135.372	 430.813	DARK	0.0858441707	.
112L2	 74	4	 270.25	316.887	158.444	 504.238	DARK	0.5348796486	.
112L2	 75	4	 273.00	333.719	166.860	 531.022	DARK	0.1933273660	.
112L2	 76	4	 472.50	503.362	251.681	 800.962	DARK	0.2878431045	.
112L2	 77	4	 803.25	564.050	282.025	 897.529	DARK	0.2935743114	.
112L2	 78	4	 698.25	385.812	192.906	 613.913	DARK	0.1159636161	.
112L2	 79	4	 323.75	250.214	125.107	 398.146	DARK	0.2380451681	.
112L2	 80	4	 252.75	220.801	110.400	 351.343	DARK	0.4720259038	.
112L2	 81	4	 394.75	343.498	171.749	 546.582	DARK	0.1098961837	.
112L2	 82	4	 510.50	256.974	128.487	 408.903	DARK	0.4099538297	.
112L2	 83	4	 269.75	319.938	159.969	 509.093	DARK	0.5802182584	.
112L2	 84	4	  97.25	113.787	 56.894	 181.061	DARK	0.0004922966	****
112L2	 85	4	 376.50	444.598	222.299	 707.454	DARK	0.2313109234	.
112L2	 86	4	 479.75	440.992	220.496	 701.716	DARK	0.8579454811	.
112L2	 87	4	 155.25	197.874	 98.937	 314.862	LIGHT	0.3904361301	.
112L2	 88	4	 215.25	430.500	215.250	 685.022	LIGHT	0.7063454188	.
112L2	 89	4	 285.25	354.850	177.425	 564.645	LIGHT	0.9965169620	.
112L2	 90	4	 937.00	464.858	232.429	 739.692	LIGHT	0.0040275111	***
112L2	 91	4	 373.50	478.384	239.192	 761.216	LIGHT	0.8775344317	.
112L2	 92	4	 507.25	591.107	295.554	 940.583	LIGHT	0.3476518513	.
112L2	 93	4	 231.50	400.949	200.475	 638.000	LIGHT	0.6990143739	.
112L2	 94	4	  55.75	 63.505	 31.753	 101.051	LIGHT	0.2272371658	.
112L2	 95	4	   0.00	  0.000	  0.000	   0.000	LIGHT	0.3915348088	.
112L2	 96	4	 175.00	234.615	117.307	 373.324	LIGHT	0.3560138088	.
112L2	 97	4	   0.00	  0.000	  0.000	   0.000	LIGHT	0.2992432661	.
112L2	 98	4	  19.75	 39.500	 19.750	  62.853	LIGHT	0.3794120762	.
112L2	 99	4	  72.50	136.471	 68.235	 217.156	LIGHT	0.3225210145	.
112L2	100	4	  35.00	 70.000	 35.000	 111.386	LIGHT	0.0250012152	*
112L2	101	4	  77.75	103.674	 51.837	 164.968	LIGHT	0.1308533932	.
112L2	102	4	 183.50	205.993	102.996	 327.780	LIGHT	0.1125153702	.
112L2	103	4	 119.25	238.500	119.250	 379.507	LIGHT	0.2411319943	.
112L2	104	4	   0.00	  0.000	  0.000	   0.000	LIGHT	0.0356631493	*
112L2	105	4	   9.00	 18.000	  9.000	  28.642	DARK	0.0301031225	*
112L2	106	4	 138.75	277.500	138.750	 441.564	DARK	0.0265806518	*
112L2	107	4	 247.50	347.444	173.722	 552.862	DARK	0.2262022719	.
112L2	108	4	 152.00	106.129	 53.064	 168.875	DARK	0.0003736391	****
112L2	109	4	  28.50	 57.000	 28.500	  90.700	DARK	0.0437614492	*
112L2	110	4	 314.25	364.020	182.010	 579.238	DARK	0.1539880019	.
112L2	111	4	 461.00	392.217	196.108	 624.104	DARK	0.8153032783	.
WT	  1	4	 160.25	283.775	141.887	 451.549	DARK	0.0718221497	.
WT	  2	4	 448.75	258.143	129.071	 410.762	DARK	0.1886280242	.
WT	  3	4	 511.50	323.286	161.643	 514.420	DARK	0.8933264327	.
WT	  4	4	 396.00	336.922	168.461	 536.119	DARK	0.4800254997	.
