Genotype	TimePoint	N	YA	sd	se	ci	Phase	ANOVA_pValue	Sign
WT	 11	4	 781.00	 644.688	 322.344	 1025.842	DARK	0.0769861592	.
WT	 12	4	3519.50	2719.473	1359.736	 4327.288	DARK	0.1122416890	.
WT	 13	4	3403.50	2272.219	1136.109	 3615.607	LIGHT	0.3693673665	.
WT	 14	4	2216.50	2032.071	1016.035	 3233.478	LIGHT	0.5415418163	.
WT	 15	4	1727.50	1690.995	 845.498	 2690.751	LIGHT	0.9775736842	.
WT	 16	4	1074.25	 772.270	 386.135	 1228.855	LIGHT	0.5282972475	.
WT	 17	4	2352.75	2632.438	1316.219	 4188.797	LIGHT	0.2410409331	.
WT	 18	4	1689.00	1825.444	 912.722	 2904.689	LIGHT	0.4879501275	.
WT	 19	4	1817.00	1794.078	 897.039	 2854.779	LIGHT	0.2182469371	.
WT	 20	4	2052.25	2377.777	1188.888	 3783.574	LIGHT	0.0698360742	.
WT	 21	4	1626.50	1614.219	 807.110	 2568.583	LIGHT	0.0237448108	*
WT	 22	4	1154.75	1423.103	 711.552	 2264.475	LIGHT	0.0789645825	.
WT	 23	4	 765.00	 885.314	 442.657	 1408.732	LIGHT	0.2200815806	.
WT	 24	4	2227.50	2277.158	1138.579	 3623.466	LIGHT	0.3136989332	.
WT	 25	4	3026.75	3073.287	1536.643	 4890.285	LIGHT	0.1971061469	.
WT	 26	4	3424.00	3558.295	1779.147	 5662.041	LIGHT	0.2075353952	.
WT	 27	4	2285.75	2342.348	1171.174	 3727.199	LIGHT	0.2640636660	.
WT	 28	4	2084.25	2730.972	1365.486	 4345.586	LIGHT	0.6067226885	.
WT	 29	4	5706.00	5559.859	2779.930	 8846.976	LIGHT	0.1402398404	.
WT	 30	4	3261.00	2673.632	1336.816	 4254.346	LIGHT	0.3760439027	.
WT	 31	4	2244.75	1399.621	 699.811	 2227.110	LIGHT	0.2093154601	.
WT	 32	4	4594.25	3602.536	1801.268	 5732.438	DARK	0.2647592713	.
WT	 33	4	4272.25	1314.044	 657.022	 2090.938	DARK	0.0308954455	*
WT	 34	4	3475.75	2476.506	1238.253	 3940.674	DARK	0.6581533885	.
WT	 35	4	2008.50	1238.681	 619.340	 1971.017	DARK	0.6980310926	.
WT	 36	4	3081.75	2106.269	1053.134	 3351.544	DARK	0.6528685369	.
WT	 37	4	3583.00	3294.427	1647.213	 5242.168	DARK	0.4258018551	.
WT	 38	4	3982.00	2477.401	1238.701	 3942.099	DARK	0.4279598783	.
WT	 39	4	1955.75	1464.499	 732.250	 2330.345	DARK	0.2597195333	.
WT	 40	4	2609.25	3322.266	1661.133	 5286.466	DARK	0.6226275437	.
