Genotype	TimePoint	N	XT	sd	se	ci	Phase	ANOVA_pValue	Sign
112L2	 57	4	2254.75	 2471.051	1235.525	 3931.993	LIGHT	0.853263230	.
112L2	 58	4	1166.75	 1664.000	 832.000	 2647.795	LIGHT	0.999745309	.
112L2	 59	4	1277.75	 1013.044	 506.522	 1611.980	LIGHT	0.045197911	*
112L2	 60	4	1136.25	 1892.822	 946.411	 3011.902	LIGHT	0.714521049	.
112L2	 61	4	 191.75	  158.815	  79.408	  252.710	LIGHT	0.422170814	.
112L2	 62	4	 174.00	  138.499	  69.250	  220.383	LIGHT	0.300635739	.
112L2	 63	4	 260.25	  326.234	 163.117	  519.112	LIGHT	0.596578889	.
112L2	 64	4	 617.50	  599.697	 299.848	  954.252	LIGHT	0.763547779	.
112L2	 65	4	1442.00	 1384.383	 692.191	 2202.862	LIGHT	0.710354418	.
112L2	 66	4	 155.50	  253.749	 126.874	  403.771	LIGHT	0.092311348	.
112L2	 67	4	 326.75	  321.604	 160.802	  511.743	LIGHT	0.155454058	.
112L2	 68	4	 267.75	  180.939	  90.469	  287.914	LIGHT	0.254570560	.
112L2	 69	4	 919.00	 1472.777	 736.389	 2343.518	DARK	0.009580875	**
112L2	 70	4	1417.25	 1473.018	 736.509	 2343.900	DARK	0.010372466	*
112L2	 71	4	2925.50	 1199.691	 599.846	 1908.977	DARK	0.817747328	.
112L2	 72	4	 753.50	  827.938	 413.969	 1317.434	DARK	0.036927616	*
112L2	 73	4	1182.75	 1397.220	 698.610	 2223.289	DARK	0.146247807	.
112L2	 74	4	 718.25	  784.615	 392.308	 1248.498	DARK	0.235606796	.
112L2	 75	4	 603.00	  590.493	 295.247	  939.606	DARK	0.026793910	*
112L2	 76	4	1256.50	 1241.170	 620.585	 1974.978	DARK	0.483045446	.
112L2	 77	4	2719.00	 1904.633	 952.317	 3030.696	DARK	0.842407748	.
112L2	 78	4	2813.50	  511.866	 255.933	  814.493	DARK	0.008776302	**
112L2	 79	4	2191.00	  485.181	 242.591	  772.031	DARK	0.527264449	.
112L2	 80	4	2024.00	 1227.330	 613.665	 1952.956	DARK	0.571542348	.
112L2	 81	4	2646.75	 1739.520	 869.760	 2767.964	DARK	0.120878934	.
112L2	 82	4	3349.50	 1910.932	 955.466	 3040.719	DARK	0.550554076	.
112L2	 83	4	2966.50	 5576.414	2788.207	 8873.319	DARK	0.823453721	.
112L2	 84	4	1185.25	  912.684	 456.342	 1452.283	DARK	0.050775427	.
112L2	 85	4	2611.00	 3199.824	1599.912	 5091.635	DARK	0.603933234	.
112L2	 86	4	3546.00	 2599.864	1299.932	 4136.964	DARK	0.912019432	.
112L2	 87	4	 830.00	  643.689	 321.844	 1024.253	LIGHT	0.328391900	.
112L2	 88	4	 860.75	  996.903	 498.451	 1586.295	LIGHT	0.356519637	.
112L2	 89	4	1838.75	 1597.660	 798.830	 2542.234	LIGHT	0.990883210	.
112L2	 90	4	3949.00	 2415.097	1207.549	 3842.959	LIGHT	0.033169598	*
112L2	 91	4	1668.50	 1756.917	 878.458	 2795.646	LIGHT	0.646089931	.
112L2	 92	4	2886.75	 3007.328	1503.664	 4785.329	LIGHT	0.111107111	.
112L2	 93	4	1502.25	 2191.628	1095.814	 3487.369	LIGHT	0.314609609	.
112L2	 94	4	 700.25	  534.061	 267.030	  849.810	LIGHT	0.264232339	.
112L2	 95	4	 275.25	  224.675	 112.338	  357.508	LIGHT	0.476350580	.
112L2	 96	4	 927.50	  871.264	 435.632	 1386.375	LIGHT	0.464467415	.
112L2	 97	4	 352.00	  190.259	  95.130	  302.745	LIGHT	0.496136016	.
112L2	 98	4	 436.50	  469.563	 234.782	  747.180	LIGHT	0.723373770	.
112L2	 99	4	 626.00	  899.966	 449.983	 1432.046	LIGHT	0.515775092	.
112L2	100	4	 687.25	 1100.765	 550.383	 1751.563	LIGHT	0.357241435	.
112L2	101	4	 976.25	  856.632	 428.316	 1363.093	LIGHT	0.550906269	.
112L2	102	4	1169.00	 1114.602	 557.301	 1773.580	LIGHT	0.285692998	.
112L2	103	4	1330.00	 2159.962	1079.981	 3436.982	LIGHT	0.930185801	.
112L2	104	4	 193.50	  120.826	  60.413	  192.262	LIGHT	0.068778702	.
112L2	105	4	 393.50	  179.099	  89.549	  284.986	DARK	0.033633229	*
112L2	106	4	1201.00	 2076.395	1038.198	 3304.008	DARK	0.236924650	.
