Genotype	TimePoint	N	CumPerF	sd	se	ci	Phase	ANOVA_pValue	Sign
112L2	 86	4	 81520.75	12331.587	 6165.794	19622.307	DARK	0.10257986	.
112L2	 87	4	 82657.50	12395.828	 6197.914	19724.528	LIGHT	0.09988954	.
112L2	 88	4	 83467.00	12307.041	 6153.521	19583.249	LIGHT	0.09698007	.
112L2	 89	4	 84503.00	12471.310	 6235.655	19844.638	LIGHT	0.09714038	.
112L2	 90	4	 85791.25	12190.722	 6095.361	19398.160	LIGHT	0.08831958	.
112L2	 91	4	 86652.00	12181.465	 6090.732	19383.429	LIGHT	0.08942527	.
112L2	 92	4	 87694.00	12284.167	 6142.083	19546.851	LIGHT	0.08250156	.
112L2	 93	4	 88608.75	12032.628	 6016.314	19146.596	LIGHT	0.07492181	.
112L2	 94	4	 89847.75	11526.010	 5763.005	18340.455	LIGHT	0.06997013	.
112L2	 95	4	 91078.00	11623.341	 5811.670	18495.329	LIGHT	0.06657451	.
112L2	 96	4	 92306.50	11466.099	 5733.050	18245.123	LIGHT	0.06307839	.
112L2	 97	4	 93563.50	11572.858	 5786.429	18414.999	LIGHT	0.06229533	.
112L2	 98	4	 94792.50	11931.359	 5965.679	18985.454	LIGHT	0.05986332	.
112L2	 99	4	 96014.00	11716.299	 5858.149	18643.246	LIGHT	0.05651891	.
112L2	100	4	 97222.25	11304.041	 5652.021	17987.252	LIGHT	0.05357055	.
112L2	101	4	 98377.75	11610.342	 5805.171	18474.644	LIGHT	0.05157130	.
112L2	102	4	 99238.00	11691.490	 5845.745	18603.769	LIGHT	0.05100063	.
112L2	103	4	100256.75	11622.074	 5811.037	18493.314	LIGHT	0.05281098	.
112L2	104	4	100966.25	11820.720	 5910.360	18809.403	LIGHT	0.05320676	.
112L2	105	4	102174.00	11661.064	 5830.532	18555.355	DARK	0.05306031	.
112L2	106	4	103255.00	11894.529	 5947.264	18926.850	DARK	0.05393439	.
112L2	107	4	104541.00	12261.703	 6130.852	19511.106	DARK	0.05128709	.
112L2	108	4	105577.50	12526.003	 6263.002	19931.666	DARK	0.05051124	.
112L2	109	4	106480.75	12331.658	 6165.829	19622.420	DARK	0.04893240	*
112L2	110	4	107328.25	12316.107	 6158.054	19597.675	DARK	0.05011614	.
112L2	111	4	108347.75	12778.565	 6389.283	20333.549	DARK	0.04791878	*
WT	  1	4	   817.50	  277.797	  138.898	  442.037	DARK	0.61333723	.
WT	  2	4	  2176.75	  809.520	  404.760	 1288.127	DARK	0.65447887	.
WT	  3	4	  3464.25	 1179.382	  589.691	 1876.660	DARK	0.71061422	.
WT	  4	4	  4594.00	 1731.092	  865.546	 2754.553	DARK	0.60629650	.
WT	  5	4	  5411.50	 1738.756	  869.378	 2766.749	DARK	0.85428467	.
WT	  6	4	  6126.00	 1795.218	  897.609	 2856.593	DARK	0.76563268	.
WT	  7	4	  7151.75	 2178.320	 1089.160	 3466.193	DARK	0.59424012	.
WT	  8	4	  7875.25	 2500.660	 1250.330	 3979.108	DARK	0.55570228	.
WT	  9	4	  8505.75	 2467.327	 1233.663	 3926.068	DARK	0.48840734	.
WT	 10	4	  9188.00	 2595.882	 1297.941	 4130.628	DARK	0.54336768	.
WT	 11	4	  9583.75	 2875.336	 1437.668	 4575.301	DARK	0.57127924	.
WT	 12	4	 10663.75	 3149.968	 1574.984	 5012.301	DARK	0.51531674	.
WT	 13	4	 11910.00	 3576.858	 1788.429	 5691.579	LIGHT	0.45587186	.
WT	 14	4	 12888.25	 4079.627	 2039.814	 6491.598	LIGHT	0.43510112	.
WT	 15	4	 13604.00	 4277.873	 2138.936	 6807.050	LIGHT	0.43976630	.
WT	 16	4	 14097.25	 4560.935	 2280.467	 7257.465	LIGHT	0.40920024	.
WT	 17	4	 14994.75	 5171.444	 2585.722	 8228.921	LIGHT	0.35879060	.
WT	 18	4	 15641.75	 5528.576	 2764.288	 8797.197	LIGHT	0.35952671	.
WT	 19	4	 16419.50	 5750.961	 2875.480	 9151.062	LIGHT	0.32704452	.
WT	 20	4	 17182.75	 6135.082	 3067.541	 9762.285	LIGHT	0.29653030	.
WT	 21	4	 17736.25	 6455.085	 3227.543	10271.481	LIGHT	0.26728752	.
WT	 22	4	 18298.00	 6791.688	 3395.844	10807.092	LIGHT	0.21729203	.
WT	 23	4	 18723.75	 7007.745	 3503.872	11150.886	LIGHT	0.24519264	.
WT	 24	4	 19601.75	 7493.675	 3746.838	11924.110	LIGHT	0.27514723	.
WT	 25	4	 20280.75	 7920.402	 3960.201	12603.127	LIGHT	0.27269854	.
WT	 26	4	 21205.00	 8526.683	 4263.342	13567.856	LIGHT	0.25977709	.
WT	 27	4	 22066.50	 8804.188	 4402.094	14009.428	LIGHT	0.23496841	.
WT	 28	4	 22697.75	 9191.989	 4595.994	14626.505	LIGHT	0.22537383	.
WT	 29	4	 23689.75	 9835.930	 4917.965	15651.160	LIGHT	0.21348109	.
WT	 30	4	 24756.75	10342.035	 5171.018	16456.486	LIGHT	0.21561801	.
WT	 31	4	 25606.50	10552.057	 5276.029	16790.678	LIGHT	0.20702723	.
WT	 32	4	 26984.00	10808.228	 5404.114	17198.303	DARK	0.19886982	.
WT	 33	4	 28325.50	10874.920	 5437.460	17304.425	DARK	0.18652942	.
WT	 34	4	 29470.75	11190.954	 5595.477	17807.306	DARK	0.20103339	.
WT	 35	4	 30293.75	11327.114	 5663.557	18023.966	DARK	0.22524569	.
WT	 36	4	 31340.75	11728.962	 5864.481	18663.396	DARK	0.26025619	.
WT	 37	4	 32418.75	12372.523	 6186.262	19687.445	DARK	0.28354969	.
WT	 38	4	 33633.25	12943.704	 6471.852	20596.321	DARK	0.30160266	.
WT	 39	4	 34464.75	12935.632	 6467.816	20583.478	DARK	0.29423342	.
WT	 40	4	 35157.00	13345.502	 6672.751	21235.672	DARK	0.30914063	.
WT	 41	4	 36091.25	13535.986	 6767.993	21538.775	DARK	0.33074565	.
WT	 42	4	 36693.50	13450.488	 6725.244	21402.728	DARK	0.35548904	.
