Genotype	TimePoint	N	PerF	sd	se	ci	Phase	ANOVA_pValue	Sign
112L2	105	4	1207.75	 405.756	202.878	 645.648	DARK	0.2468138450	.
112L2	106	4	1081.00	 352.652	176.326	 561.148	DARK	0.7477766309	.
112L2	107	4	1286.00	 634.645	317.323	1009.862	DARK	0.1607148175	.
112L2	108	4	1036.50	 369.136	184.568	 587.378	DARK	0.0492605795	*
112L2	109	4	 903.25	 275.500	137.750	 438.382	DARK	0.3019536411	.
112L2	110	4	 847.50	  68.831	 34.415	 109.525	DARK	0.6132147045	.
112L2	111	4	1019.50	 645.672	322.836	1027.408	DARK	0.1548188737	.
WT	  1	4	 817.50	 277.797	138.898	 442.037	DARK	0.6133372252	.
WT	  2	4	1359.25	 673.384	336.692	1071.504	DARK	0.4473671815	.
WT	  3	4	1287.50	 524.771	262.385	 835.027	DARK	0.2680810609	.
WT	  4	4	1129.75	1072.402	536.201	1706.431	DARK	0.7367277420	.
WT	  5	4	 817.50	 254.618	127.309	 405.154	DARK	0.1370239266	.
WT	  6	4	 714.50	 398.255	199.127	 633.712	DARK	0.1162467239	.
WT	  7	4	1025.75	 409.028	204.514	 650.855	DARK	0.5074489829	.
WT	  8	4	 723.50	 475.570	237.785	 756.738	DARK	0.6005753770	.
WT	  9	4	 630.50	 389.624	194.812	 619.979	DARK	0.8256314598	.
WT	 10	4	 682.25	 459.868	229.934	 731.753	DARK	0.7700619045	.
WT	 11	4	 395.75	 323.634	161.817	 514.974	DARK	0.1972068210	.
WT	 12	4	1080.00	 485.198	242.599	 772.058	DARK	0.1283890952	.
WT	 13	4	1246.25	 558.419	279.210	 888.570	LIGHT	0.1696848503	.
WT	 14	4	 978.25	 727.353	363.677	1157.382	LIGHT	0.6044916424	.
WT	 15	4	 715.75	 425.012	212.506	 676.288	LIGHT	0.9219232640	.
WT	 16	4	 493.25	 298.891	149.445	 475.602	LIGHT	0.6795492637	.
WT	 17	4	 897.50	 848.918	424.459	1350.818	LIGHT	0.2913916283	.
WT	 18	4	 647.00	 500.550	250.275	 796.487	LIGHT	0.6147888140	.
WT	 19	4	 777.75	 269.104	134.552	 428.204	LIGHT	0.4696673233	.
WT	 20	4	 763.25	 647.163	323.581	1029.780	LIGHT	0.3513851933	.
WT	 21	4	 553.50	 453.880	226.940	 722.224	LIGHT	0.1176205579	.
WT	 22	4	 561.75	 550.439	275.220	 875.872	LIGHT	0.1092561340	.
WT	 23	4	 425.75	 364.573	182.287	 580.117	LIGHT	0.5593373799	.
WT	 24	4	 878.00	 575.153	287.576	 915.196	LIGHT	0.7733329956	.
WT	 25	4	 679.00	 681.670	340.835	1084.690	LIGHT	0.5419670527	.
WT	 26	4	 924.25	 683.251	341.625	1087.204	LIGHT	0.3264367675	.
WT	 27	4	 861.50	 482.038	241.019	 767.030	LIGHT	0.0340618585	*
WT	 28	4	 631.25	 438.612	219.306	 697.930	LIGHT	0.5113849361	.
WT	 29	4	 992.00	 693.962	346.981	1104.248	LIGHT	0.2008076392	.
WT	 30	4	1067.00	 574.726	287.363	 914.517	LIGHT	0.4530758278	.
WT	 31	4	 849.75	 396.956	198.478	 631.646	LIGHT	0.5114665070	.
WT	 32	4	1377.50	 498.540	249.270	 793.288	DARK	0.2113965879	.
WT	 33	4	1341.50	 107.333	 53.666	 170.790	DARK	0.1202793293	.
WT	 34	4	1145.25	 378.376	189.188	 602.080	DARK	0.7865137651	.
WT	 35	4	 823.00	 239.114	119.557	 380.483	DARK	0.2749246086	.
WT	 36	4	1047.00	 422.420	211.210	 672.165	DARK	0.7400836348	.
WT	 37	4	1078.00	 677.976	338.988	1078.812	DARK	0.5332455309	.
WT	 38	4	1214.50	 643.300	321.650	1023.634	DARK	0.5045231131	.
WT	 39	4	 831.50	 468.283	234.142	 745.143	DARK	0.5547629291	.
WT	 40	4	 692.25	 538.579	269.289	 856.999	DARK	0.6856819251	.
WT	 41	4	 934.25	 356.747	178.373	 567.664	DARK	0.7280849110	.
WT	 42	4	 602.25	 409.921	204.960	 652.275	DARK	0.2606480275	.
WT	 43	4	 658.25	 366.201	183.100	 582.707	DARK	0.1547564335	.
WT	 44	4	 522.25	 353.079	176.540	 561.828	DARK	0.2167617464	.
WT	 45	4	 942.50	 581.223	290.611	 924.855	DARK	0.8224098906	.
WT	 46	4	 884.25	 577.507	288.753	 918.942	DARK	0.4745867836	.
WT	 47	4	 570.25	 249.388	124.694	 396.832	DARK	0.0984123593	.
WT	 48	4	 760.25	 452.269	226.134	 719.660	DARK	0.3011533120	.
WT	 49	4	1104.50	 647.484	323.742	1030.292	DARK	0.0804772613	.
WT	 50	4	1018.75	 139.144	 69.572	 221.408	LIGHT	0.7723008726	.
WT	 51	4	 585.00	 647.156	323.578	1029.770	LIGHT	0.4587067223	.
WT	 52	4	 746.50	 326.777	163.388	 519.975	LIGHT	0.0377155237	*
WT	 53	4	 477.25	 507.401	253.701	 807.389	LIGHT	0.1055732715	.
WT	 54	4	 869.00	 999.940	499.970	1591.127	LIGHT	0.4360747220	.
WT	 55	4	 503.00	 376.568	188.284	 599.203	LIGHT	0.2703830527	.
WT	 56	4	 428.00	 237.791	118.896	 378.379	LIGHT	0.2277144997	.
WT	 57	4	 585.50	 645.990	322.995	1027.914	LIGHT	0.1143056196	.
WT	 58	4	 519.00	 399.046	199.523	 634.972	LIGHT	0.1803308248	.
WT	 59	4	 250.75	 314.021	157.010	 499.677	LIGHT	0.0276461303	*
WT	 60	4	 344.75	 270.770	135.385	 430.855	LIGHT	0.0059636729	**
WT	 61	4	 413.00	 374.538	187.269	 595.973	LIGHT	0.0338279730	*
WT	 62	4	 548.25	 454.464	227.232	 723.154	LIGHT	0.3448451187	.
WT	 63	4	 609.50	 327.400	163.700	 520.967	LIGHT	0.1043255228	.
WT	 64	4	 651.00	 550.798	275.399	 876.442	LIGHT	0.0159297837	*
WT	 65	4	 483.00	 232.108	116.054	 369.335	LIGHT	0.0047752121	***
WT	 66	4	 363.00	 208.122	104.061	 331.168	LIGHT	0.5741345190	.
WT	 67	4	 898.75	 420.842	210.421	 669.653	LIGHT	0.0209941276	*
WT	 68	4	 681.50	 249.536	124.768	 397.068	LIGHT	0.0893241515	.
WT	 69	4	1501.50	  75.182	 37.591	 119.631	DARK	0.0411487398	*
WT	 70	4	1319.75	 154.998	 77.499	 246.636	DARK	0.2104262595	.
WT	 71	4	 815.00	 472.318	236.159	 751.564	DARK	0.2782117915	.
WT	 72	4	1018.50	 349.837	174.918	 556.668	DARK	0.1254854617	.
WT	 73	4	1043.50	 385.214	192.607	 612.961	DARK	0.2682954048	.
WT	 74	4	1147.25	 285.696	142.848	 454.606	DARK	0.1019227293	.
WT	 75	4	 915.00	 429.566	214.783	 683.535	DARK	0.6057633093	.
