Genotype	TimePoint	N	XT.YT	sd	se	ci	Phase	ANOVA_pValue	Sign
112L2	 91	4	 5611.00	 3522.005	1761.002	 5604.295	LIGHT	0.8555147304	.
112L2	 92	4	 7297.25	 3319.677	1659.838	 5282.347	LIGHT	0.0021766431	***
112L2	 93	4	 5315.75	 2464.049	1232.025	 3920.852	LIGHT	0.0019469710	***
112L2	 94	4	 6727.25	 3604.449	1802.225	 5735.483	LIGHT	0.1680748459	.
112L2	 95	4	 6463.75	 3805.688	1902.844	 6055.699	LIGHT	0.1709503677	.
112L2	 96	4	 8021.00	 3404.327	1702.164	 5417.044	LIGHT	0.0396400285	*
112L2	 97	4	 7702.00	 5229.371	2614.686	 8321.097	LIGHT	0.2908356785	.
112L2	 98	4	 6949.25	 3830.166	1915.083	 6094.649	LIGHT	0.0366570336	*
112L2	 99	4	 8301.25	 5976.492	2988.246	 9509.932	LIGHT	0.3153983739	.
112L2	100	4	 8204.75	 6055.396	3027.698	 9635.486	LIGHT	0.1335802277	.
112L2	101	4	 5118.75	 3229.158	1614.579	 5138.311	LIGHT	0.2980008134	.
112L2	102	4	 4688.50	 2566.756	1283.378	 4084.282	LIGHT	0.8958845804	.
112L2	103	4	 5043.00	 4443.765	2221.882	 7071.021	LIGHT	0.8911187682	.
112L2	104	4	 3693.50	 3421.535	1710.767	 5444.425	LIGHT	0.8384151856	.
112L2	105	4	 6795.25	 3269.825	1634.913	 5203.022	DARK	0.6219266724	.
112L2	106	4	 6977.50	 3253.819	1626.909	 5177.552	DARK	0.6118767331	.
112L2	107	4	 7623.00	 3774.945	1887.473	 6006.780	DARK	0.2262286749	.
112L2	108	4	 6118.75	 1910.748	 955.374	 3040.426	DARK	0.0456016596	*
112L2	109	4	 4112.75	 1673.345	 836.673	 2662.666	DARK	0.9261614168	.
112L2	110	4	 5438.75	 2434.479	1217.240	 3873.799	DARK	0.6920037318	.
112L2	111	4	 7717.50	 4031.265	2015.632	 6414.641	DARK	0.2821761693	.
WT	  1	4	 4248.50	 2085.962	1042.981	 3319.230	DARK	0.1541140844	.
WT	  2	4	 9358.25	 4678.838	2339.419	 7445.075	DARK	0.2461450209	.
WT	  3	4	 9411.75	 5425.321	2712.660	 8632.896	DARK	0.4576621400	.
WT	  4	4	 7820.75	 8060.255	4030.127	12825.664	DARK	0.6900619095	.
WT	  5	4	 4594.25	 2474.116	1237.058	 3936.871	DARK	0.0218499574	*
WT	  6	4	 3757.00	 2353.898	1176.949	 3745.577	DARK	0.1135306797	.
WT	  7	4	 5552.00	 2611.298	1305.649	 4155.158	DARK	0.5909501385	.
WT	  8	4	 4422.00	 3578.922	1789.461	 5694.864	DARK	0.8464592374	.
WT	  9	4	 2928.75	 2684.488	1342.244	 4271.619	DARK	0.5964762116	.
WT	 10	4	 3525.00	 2369.532	1184.766	 3770.454	DARK	0.0119492304	*
WT	 11	4	 1927.00	 1518.501	 759.250	 2416.274	DARK	0.1525075751	.
WT	 12	4	 6729.75	 3336.831	1668.415	 5309.642	DARK	0.5143014778	.
WT	 13	4	10060.00	 4431.788	2215.894	 7051.963	LIGHT	0.1421668165	.
WT	 14	4	 5649.50	 5272.866	2636.433	 8390.307	LIGHT	0.5017367218	.
WT	 15	4	 3449.75	 2716.955	1358.477	 4323.281	LIGHT	0.7223528022	.
WT	 16	4	 1651.00	  960.833	 480.416	 1528.899	LIGHT	0.7207461970	.
WT	 17	4	 4957.75	 5490.901	2745.451	 8737.249	LIGHT	0.3395674988	.
WT	 18	4	 3863.00	 4840.611	2420.305	 7702.492	LIGHT	0.7331898098	.
WT	 19	4	 4174.75	 2072.216	1036.108	 3297.358	LIGHT	0.4216640098	.
WT	 20	4	 3812.25	 3970.000	1985.000	 6317.157	LIGHT	0.1297040809	.
WT	 21	4	 2325.75	 2075.598	1037.799	 3302.740	LIGHT	0.0539850246	.
WT	 22	4	 2427.00	 2517.489	1258.745	 4005.887	LIGHT	0.0475328240	*
WT	 23	4	 1380.75	 1329.509	 664.754	 2115.545	LIGHT	0.3610119230	.
WT	 24	4	 6326.50	 3858.991	1929.496	 6140.517	LIGHT	0.8937463417	.
WT	 25	4	 3933.25	 3580.210	1790.105	 5696.912	LIGHT	0.4946879634	.
WT	 26	4	 5603.75	 5640.223	2820.112	 8974.854	LIGHT	0.3325796394	.
WT	 27	4	 4371.75	 2377.034	1188.517	 3782.392	LIGHT	0.0645501935	.
WT	 28	4	 2870.25	 3000.731	1500.365	 4774.832	LIGHT	0.7903951622	.
WT	 29	4	 6842.75	 6045.492	3022.746	 9619.727	LIGHT	0.2213630757	.
WT	 30	4	 6640.75	 4367.744	2183.872	 6950.055	LIGHT	0.7402897344	.
WT	 31	4	 4757.00	 2232.868	1116.434	 3552.991	LIGHT	0.8862079927	.
WT	 32	4	 8724.25	 4290.383	2145.191	 6826.957	DARK	0.5899410345	.
WT	 33	4	10360.50	  923.129	 461.564	 1468.904	DARK	0.5077252894	.
WT	 34	4	 7019.25	 2694.101	1347.051	 4286.916	DARK	0.8406676963	.
WT	 35	4	 4631.50	 1111.666	 555.833	 1768.909	DARK	0.1509970522	.
WT	 36	4	 6423.50	 2054.511	1027.255	 3269.185	DARK	0.7528270870	.
WT	 37	4	 6930.50	 4949.106	2474.553	 7875.132	DARK	0.6293054118	.
WT	 38	4	 9035.75	 3900.143	1950.071	 6205.998	DARK	0.2457374116	.
WT	 39	4	 6512.50	 3578.958	1789.479	 5694.921	DARK	0.8374438162	.
WT	 40	4	 4197.25	 4279.727	2139.864	 6810.001	DARK	0.3354005187	.
WT	 41	4	 6547.75	 3552.009	1776.004	 5652.039	DARK	0.9949121997	.
WT	 42	4	 3905.75	 2823.771	1411.886	 4493.250	DARK	0.3410324477	.
WT	 43	4	 3734.50	 2787.027	1393.513	 4434.781	DARK	0.1220151338	.
WT	 44	4	 3447.50	 3214.517	1607.258	 5115.014	DARK	0.2696950292	.
WT	 45	4	 4946.75	 2579.102	1289.551	 4103.927	DARK	0.7909040560	.
WT	 46	4	 4991.00	 4341.168	2170.584	 6907.767	DARK	0.5507169261	.
WT	 47	4	 2693.00	  337.219	 168.610	  536.591	DARK	0.3039382476	.
WT	 48	4	 4904.50	 3053.691	1526.846	 4859.104	DARK	0.7432644618	.
WT	 49	4	 8298.25	 4338.678	2169.339	 6903.804	DARK	0.0691316635	.
WT	 50	4	 7483.75	 2248.513	1124.257	 3577.886	LIGHT	0.5801544889	.
WT	 51	4	 3804.50	 5411.433	2705.717	 8610.798	LIGHT	0.9931243776	.
WT	 52	4	 4658.25	 1341.335	 670.668	 2134.363	LIGHT	0.2012041879	.
WT	 53	4	 2451.50	 2255.945	1127.972	 3589.711	LIGHT	0.1457518318	.
WT	 54	4	 4751.50	 5748.900	2874.450	 9147.782	LIGHT	0.4930927167	.
WT	 55	4	 2227.00	 1777.755	 888.877	 2828.804	LIGHT	0.1981472446	.
WT	 56	4	 1513.25	 1157.766	 578.883	 1842.265	LIGHT	0.2372341562	.
WT	 57	4	 3718.00	 4647.821	2323.911	 7395.721	LIGHT	0.3975742039	.
WT	 58	4	 2602.75	 2492.625	1246.312	 3966.322	LIGHT	0.4608435314	.
WT	 59	4	  526.50	  534.316	 267.158	  850.216	LIGHT	0.0162107223	*
WT	 60	4	 1497.25	  805.861	 402.930	 1282.304	LIGHT	0.0523868995	.
WT	 61	4	 2040.50	 1901.175	 950.587	 3025.193	LIGHT	0.1301195925	.
WT	 62	4	 3252.00	 2444.030	1222.015	 3888.998	LIGHT	0.5901162020	.
WT	 63	4	 4281.75	 3519.680	1759.840	 5600.597	LIGHT	0.2397889095	.
WT	 64	4	 3004.75	 2275.822	1137.911	 3621.340	LIGHT	0.0132338738	*
WT	 65	4	 2314.50	 1413.935	 706.967	 2249.886	LIGHT	0.0089001516	**
WT	 66	4	 1647.75	  911.244	 455.622	 1449.992	LIGHT	0.5055197169	.
WT	 67	4	 6380.25	 4058.774	2029.387	 6458.415	LIGHT	0.1585185617	.
WT	 68	4	 4372.25	 1218.148	 609.074	 1938.346	LIGHT	0.4218481425	.
WT	 69	4	12420.25	  973.385	 486.692	 1548.873	DARK	0.0015547370	***
WT	 70	4	 9555.75	 2331.027	1165.513	 3709.184	DARK	0.0567226387	.
WT	 71	4	 6307.50	 3445.955	1722.977	 5483.283	DARK	0.5456141909	.
WT	 72	4	 5996.00	 1706.992	 853.496	 2716.204	DARK	0.1189414928	.
WT	 73	4	 7450.75	 3101.468	1550.734	 4935.127	DARK	0.7126213854	.
WT	 74	4	 8798.00	 5172.944	2586.472	 8231.309	DARK	0.4295119142	.
WT	 75	4	 6013.00	 4151.872	2075.936	 6606.555	DARK	0.4882497198	.
WT	 76	4	 4244.00	 4100.333	2050.167	 6524.545	DARK	0.6631342028	.
WT	 77	4	 3726.75	 2995.651	1497.826	 4766.750	DARK	0.1129216251	.
WT	 78	4	 4508.25	 2578.725	1289.362	 4103.326	DARK	0.1399847702	.
WT	 79	4	 5026.50	 2413.552	1206.776	 3840.500	DARK	0.8232064948	.
WT	 80	4	 6948.00	 3795.835	1897.917	 6040.020	DARK	0.8193074455	.
WT	 81	4	 1936.75	 1689.066	 844.533	 2687.681	DARK	0.0749771274	.
WT	 82	4	 3434.25	 3087.881	1543.941	 4913.508	DARK	0.0398603008	*
