Genotype	TimePoint	N	CumYT	sd	se	ci	Phase	ANOVA_pValue	Sign
112L2	 59	4	250342.00	 41585.162	20792.581	 66171.273	LIGHT	0.049031457	*
112L2	 60	4	253414.75	 42173.539	21086.769	 67107.511	LIGHT	0.045777854	*
112L2	 61	4	256387.75	 44344.196	22172.098	 70561.511	LIGHT	0.043815399	*
112L2	 62	4	260407.25	 47373.488	23686.744	 75381.791	LIGHT	0.044006813	*
112L2	 63	4	263431.50	 50385.250	25192.625	 80174.176	LIGHT	0.047162649	*
112L2	 64	4	268919.25	 51784.336	25892.168	 82400.434	LIGHT	0.043831074	*
112L2	 65	4	274015.25	 52002.774	26001.387	 82748.019	LIGHT	0.039649654	*
112L2	 66	4	278092.25	 57102.056	28551.028	 90862.114	LIGHT	0.041741617	*
112L2	 67	4	282438.25	 60053.194	30026.597	 95558.032	LIGHT	0.041242612	*
112L2	 68	4	285231.50	 61221.876	30610.938	 97417.667	LIGHT	0.042955917	*
112L2	 69	4	288572.00	 61588.226	30794.113	 98000.611	DARK	0.044655163	*
112L2	 70	4	291183.00	 61626.239	30813.119	 98061.098	DARK	0.044914354	*
112L2	 71	4	295268.50	 61695.911	30847.956	 98171.962	DARK	0.042815492	*
112L2	 72	4	297275.50	 62559.995	31279.998	 99546.912	DARK	0.045914643	*
112L2	 73	4	301338.75	 61831.086	30915.543	 98387.056	DARK	0.044536082	*
112L2	 74	4	305172.25	 63231.092	31615.546	100614.777	DARK	0.045341367	*
112L2	 75	4	308915.25	 63888.159	31944.079	101660.317	DARK	0.046008493	*
112L2	 76	4	314505.00	 63741.490	31870.745	101426.935	DARK	0.042375758	*
112L2	 77	4	319316.00	 62884.660	31442.330	100063.527	DARK	0.038498485	*
112L2	 78	4	325105.25	 61408.401	30704.201	 97714.470	DARK	0.035512782	*
112L2	 79	4	329789.50	 59704.793	29852.397	 95003.649	DARK	0.032911410	*
112L2	 80	4	333573.50	 59038.038	29519.019	 93942.692	DARK	0.031708818	*
112L2	 81	4	337323.75	 59027.827	29513.913	 93926.444	DARK	0.031456358	*
112L2	 82	4	342649.50	 60262.671	30131.336	 95891.357	DARK	0.028263215	*
112L2	 83	4	346293.75	 59616.101	29808.050	 94862.520	DARK	0.026679043	*
112L2	 84	4	351849.75	 58220.704	29110.352	 92642.132	DARK	0.024166206	*
112L2	 85	4	358360.00	 58572.742	29286.371	 93202.303	DARK	0.021255900	*
112L2	 86	4	362751.75	 56749.531	28374.766	 90301.168	DARK	0.020067857	*
112L2	 87	4	368676.50	 55991.792	27995.896	 89095.435	LIGHT	0.018740855	*
112L2	 88	4	370859.75	 55960.658	27980.329	 89045.894	LIGHT	0.018757529	*
112L2	 89	4	374436.00	 56229.748	28114.874	 89474.078	LIGHT	0.018775946	*
112L2	 90	4	381180.75	 57740.967	28870.484	 91878.764	LIGHT	0.016720574	*
112L2	 91	4	385123.25	 57686.430	28843.215	 91791.983	LIGHT	0.016726983	*
112L2	 92	4	389533.75	 57010.169	28505.085	 90715.902	LIGHT	0.014990663	*
112L2	 93	4	393347.25	 55612.757	27806.378	 88492.306	LIGHT	0.013372459	*
112L2	 94	4	399374.25	 52474.424	26237.212	 83498.519	LIGHT	0.012278430	*
112L2	 95	4	405562.75	 52558.884	26279.442	 83632.913	LIGHT	0.011584263	*
112L2	 96	4	412656.25	 49897.503	24948.752	 79398.062	LIGHT	0.010420528	*
112L2	 97	4	420006.25	 48777.096	24388.548	 77615.244	LIGHT	0.009670556	**
112L2	 98	4	426519.00	 50910.767	25455.384	 81010.392	LIGHT	0.009289439	**
112L2	 99	4	434194.25	 49994.488	24997.244	 79552.387	LIGHT	0.008004671	**
112L2	100	4	441711.75	 46812.877	23406.439	 74489.734	LIGHT	0.007295845	**
112L2	101	4	445854.25	 46990.414	23495.207	 74772.234	LIGHT	0.007219297	**
112L2	102	4	449373.75	 47942.444	23971.222	 76287.127	LIGHT	0.007672033	**
112L2	103	4	453086.75	 49101.237	24550.619	 78131.026	LIGHT	0.008449423	**
112L2	104	4	456586.75	 51061.468	25530.734	 81250.190	LIGHT	0.008582373	**
112L2	105	4	462988.50	 51637.505	25818.753	 82166.794	DARK	0.008785548	**
112L2	106	4	468765.00	 55084.560	27542.280	 87651.828	DARK	0.008746585	**
112L2	107	4	474663.25	 57984.387	28992.193	 92266.099	DARK	0.008351644	**
112L2	108	4	479460.50	 59815.093	29907.546	 95179.161	DARK	0.008070471	**
112L2	109	4	483092.50	 58438.932	29219.466	 92989.382	DARK	0.007346148	**
112L2	110	4	486151.25	 58891.148	29445.574	 93708.959	DARK	0.007508738	**
112L2	111	4	492331.00	 60289.066	30144.533	 95933.358	DARK	0.006704092	**
WT	  1	4	  2778.00	  1020.727	  510.363	  1624.204	DARK	0.579821219	.
WT	  2	4	  7540.00	  3556.958	 1778.479	  5659.914	DARK	0.721061241	.
WT	  3	4	 11836.00	  5391.187	 2695.594	  8578.582	DARK	0.947940354	.
WT	  4	4	 15586.50	  7047.443	 3523.721	 11214.054	DARK	0.962231200	.
WT	  5	4	 18288.50	  7441.846	 3720.923	 11841.638	DARK	0.981932722	.
WT	  6	4	 20963.00	  8563.386	 4281.693	 13626.259	DARK	0.707872813	.
WT	  7	4	 25176.25	 10623.109	 5311.554	 16903.737	DARK	0.689804005	.
WT	  8	4	 27578.00	 11660.657	 5830.329	 18554.708	DARK	0.670422696	.
WT	  9	4	 29342.75	 11597.745	 5798.872	 18454.600	DARK	0.610963026	.
WT	 10	4	 31283.75	 11764.397	 5882.199	 18719.781	DARK	0.694727954	.
WT	 11	4	 32312.25	 12204.895	 6102.447	 19420.711	DARK	0.582390687	.
WT	 12	4	 36761.50	 14520.109	 7260.055	 23104.734	DARK	0.587100096	.
WT	 13	4	 41059.25	 16306.117	 8153.058	 25946.671	LIGHT	0.592669954	.
WT	 14	4	 44039.75	 17614.579	 8807.290	 28028.726	LIGHT	0.539306307	.
WT	 15	4	 46398.50	 18639.407	 9319.703	 29659.456	LIGHT	0.545419355	.
WT	 16	4	 47898.50	 19538.915	 9769.457	 31090.774	LIGHT	0.458077086	.
WT	 17	4	 50962.25	 22221.457	11110.728	 35359.296	LIGHT	0.399868016	.
WT	 18	4	 53091.75	 23240.223	11620.111	 36980.381	LIGHT	0.336465526	.
WT	 19	4	 55434.50	 24206.035	12103.018	 38517.203	LIGHT	0.246591215	.
