Genotype	TimePoint	N	CumXF	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	 42	4	25254.00	4574.402	2287.201	 7278.894	DARK	0.05251739	.
112L1	 43	4	26388.25	5178.721	2589.360	 8240.500	DARK	0.05164528	.
112L1	 44	4	27349.25	5521.617	2760.808	 8786.124	DARK	0.05219580	.
112L1	 45	4	28224.00	5927.481	2963.741	 9431.946	DARK	0.04539034	*
112L1	 46	4	28707.25	6190.797	3095.398	 9850.939	DARK	0.05157283	.
112L1	 47	4	29355.75	6662.601	3331.300	10601.685	DARK	0.05539335	.
112L1	 48	4	30026.00	6773.919	3386.960	10778.817	DARK	0.05988936	.
112L1	 49	4	30408.00	7027.553	3513.776	11182.405	DARK	0.08277437	.
112L1	 50	4	31282.50	7335.042	3667.521	11671.689	LIGHT	0.08234546	.
112L1	 51	4	31882.25	7550.885	3775.442	12015.142	LIGHT	0.07616958	.
112L1	 52	4	32053.25	7474.985	3737.493	11894.370	LIGHT	0.09933340	.
112L1	 53	4	32370.00	7271.745	3635.872	11570.969	LIGHT	0.12181332	.
112L1	 54	4	32775.75	7421.558	3710.779	11809.355	LIGHT	0.13928185	.
112L1	 55	4	33311.00	7691.748	3845.874	12239.288	LIGHT	0.13683351	.
112L1	 56	4	33717.50	7812.512	3906.256	12431.449	LIGHT	0.13642673	.
112L1	 57	4	34091.25	7466.290	3733.145	11880.534	LIGHT	0.13401234	.
112L1	 58	4	34405.50	7488.092	3744.046	11915.225	LIGHT	0.13643044	.
112L1	 59	4	34544.00	7515.314	3757.657	11958.542	LIGHT	0.14185094	.
112L1	 60	4	34780.50	7645.307	3822.653	12165.389	LIGHT	0.15514263	.
112L1	 61	4	34923.50	7606.830	3803.415	12104.164	LIGHT	0.15832763	.
112L1	 62	4	35271.25	7506.838	3753.419	11945.054	LIGHT	0.14543488	.
112L1	 63	4	35494.50	7579.669	3789.834	12060.945	LIGHT	0.15205014	.
112L1	 64	4	35815.75	7777.056	3888.528	12375.032	LIGHT	0.15139177	.
112L1	 65	4	36124.00	7671.584	3835.792	12207.202	LIGHT	0.15203279	.
112L1	 66	4	36870.00	7656.295	3828.147	12182.874	LIGHT	0.12415199	.
112L1	 67	4	37204.25	7910.336	3955.168	12587.109	LIGHT	0.13461340	.
112L1	 68	4	37680.25	8014.509	4007.254	12752.872	LIGHT	0.13434519	.
112L1	 69	4	38379.00	8059.385	4029.692	12824.279	DARK	0.14140406	.
112L1	 70	4	39098.25	7855.968	3927.984	12500.598	DARK	0.13661254	.
112L1	 71	4	39747.75	8161.072	4080.536	12986.086	DARK	0.14995259	.
112L1	 72	4	40662.50	8176.436	4088.218	13010.534	DARK	0.13093862	.
112L1	 73	4	41680.50	7739.611	3869.805	12315.448	DARK	0.09819602	.
112L1	 74	4	42367.00	7303.488	3651.744	11621.479	DARK	0.08003359	.
112L1	 75	4	43168.75	7375.552	3687.776	11736.149	DARK	0.06823746	.
112L1	 76	4	43927.50	7234.739	3617.369	11512.084	DARK	0.05860391	.
112L1	 77	4	44521.75	7329.354	3664.677	11662.638	DARK	0.06810268	.
112L1	 78	4	45429.50	7243.340	3621.670	11525.771	DARK	0.05763609	.
112L1	 79	4	46208.00	7397.224	3698.612	11770.634	DARK	0.05554467	.
112L1	 80	4	46907.75	7557.519	3778.759	12025.699	DARK	0.06105768	.
112L1	 81	4	47541.00	7401.809	3700.904	11777.929	DARK	0.05753584	.
112L1	 82	4	48048.00	7519.846	3759.923	11965.752	DARK	0.06075238	.
112L1	 83	4	48531.50	7745.696	3872.848	12325.131	DARK	0.05504801	.
112L1	 84	4	49338.00	8027.440	4013.720	12773.448	DARK	0.04866657	*
112L1	 85	4	50099.75	8321.260	4160.630	13240.982	DARK	0.04808166	*
112L1	 86	4	50806.25	8429.861	4214.930	13413.789	DARK	0.04759603	*
112L1	 87	4	51384.00	8530.206	4265.103	13573.461	LIGHT	0.04537834	*
112L1	 88	4	52054.75	8536.562	4268.281	13583.576	LIGHT	0.04241057	*
112L1	 89	4	52485.25	8659.778	4329.889	13779.639	LIGHT	0.04879899	*
112L1	 90	4	52835.25	8617.202	4308.601	13711.892	LIGHT	0.05297917	.
112L1	 91	4	53455.75	9086.073	4543.037	14457.970	LIGHT	0.05871815	.
112L1	 92	4	53492.00	9117.398	4558.699	14507.814	LIGHT	0.06600292	.
112L1	 93	4	53538.00	9154.892	4577.446	14567.476	LIGHT	0.06924014	.
112L1	 94	4	53816.00	9219.067	4609.534	14669.593	LIGHT	0.06833454	.
112L1	 95	4	54134.50	9251.926	4625.963	14721.879	LIGHT	0.06899413	.
112L1	 96	4	54494.75	9325.409	4662.705	14838.807	LIGHT	0.06712649	.
112L1	 97	4	54931.00	9385.770	4692.885	14934.855	LIGHT	0.06379241	.
112L1	 98	4	55106.00	9445.161	4722.580	15029.358	LIGHT	0.06468284	.
112L1	 99	4	55582.25	8812.840	4406.420	14023.196	LIGHT	0.05423270	.
112L1	100	4	55829.75	8705.259	4352.629	13852.009	LIGHT	0.05211942	.
112L1	101	4	56221.75	8695.290	4347.645	13836.147	LIGHT	0.05241750	.
112L1	102	4	56681.25	8471.436	4235.718	13479.945	LIGHT	0.04831656	*
112L1	103	4	57059.75	8398.289	4199.144	13363.551	LIGHT	0.04319414	*
112L1	104	4	57637.50	8454.437	4227.219	13452.896	LIGHT	0.04333751	*
112L1	105	4	58052.25	8564.105	4282.052	13627.402	DARK	0.04247437	*
112L1	106	4	59258.50	8351.397	4175.699	13288.937	DARK	0.03605563	*
112L1	107	4	59987.75	8596.089	4298.045	13678.296	DARK	0.03726598	*
112L1	108	4	60668.00	8621.341	4310.670	13718.477	DARK	0.03579796	*
112L1	109	4	61395.00	8571.989	4285.995	13639.948	DARK	0.03258336	*
112L1	110	4	62191.75	8541.825	4270.912	13591.949	DARK	0.02738272	*
112L1	111	4	62834.25	8617.657	4308.828	13712.615	DARK	0.02795061	*
112L2	  1	4	  539.50	 299.121	 149.561	  475.969	DARK	0.01764708	*
112L2	  2	4	 1165.50	 630.633	 315.316	 1003.477	DARK	0.02126626	*
112L2	  3	4	 1906.50	1128.032	 564.016	 1794.951	DARK	0.34153025	.
112L2	  4	4	 2556.50	1261.166	 630.583	 2006.797	DARK	0.48617885	.
112L2	  5	4	 3454.00	1001.302	 500.651	 1593.296	DARK	0.26185723	.
112L2	  6	4	 4243.00	1192.978	 596.489	 1898.294	DARK	0.22698915	.
112L2	  7	4	 4814.00	1242.617	 621.309	 1977.282	DARK	0.16411229	.
112L2	  8	4	 5452.75	1259.078	 629.539	 2003.474	DARK	0.16174364	.
112L2	  9	4	 5779.75	 988.778	 494.389	 1573.366	DARK	0.09911906	.
112L2	 10	4	 6225.00	1119.978	 559.989	 1782.135	DARK	0.04568029	*
112L2	 11	4	 6937.50	1335.606	 667.803	 2125.247	DARK	0.03748746	*
112L2	 12	4	 7542.00	1255.166	 627.583	 1997.249	DARK	0.05297345	.
112L2	 13	4	 8130.50	1318.220	 659.110	 2097.582	LIGHT	0.12899950	.
112L2	 14	4	 8802.75	1507.992	 753.996	 2399.552	LIGHT	0.18469705	.
112L2	 15	4	 9377.75	2022.141	1011.070	 3217.677	LIGHT	0.14287284	.
112L2	 16	4	 9635.00	2231.167	1115.584	 3550.285	LIGHT	0.15919121	.
112L2	 17	4	10002.25	2097.729	1048.865	 3337.956	LIGHT	0.18416066	.
112L2	 18	4	10375.00	1908.013	 954.007	 3036.075	LIGHT	0.21166895	.
112L2	 19	4	10604.75	1975.802	 987.901	 3143.942	LIGHT	0.25602012	.
112L2	 20	4	10851.25	1747.433	 873.716	 2780.556	LIGHT	0.29707848	.
112L2	 21	4	11218.75	1405.281	 702.640	 2236.115	LIGHT	0.27390703	.
112L2	 22	4	11490.00	1386.685	 693.343	 2206.526	LIGHT	0.31444149	.
112L2	 23	4	11601.25	1527.935	 763.968	 2431.286	LIGHT	0.31549239	.
112L2	 24	4	11745.50	1569.859	 784.929	 2497.996	LIGHT	0.29348158	.
112L2	 25	4	11837.25	1701.102	 850.551	 2706.833	LIGHT	0.28109111	.
112L2	 26	4	12045.50	1823.859	 911.930	 2902.167	LIGHT	0.30759886	.
112L2	 27	4	12135.25	1955.287	 977.644	 3111.298	LIGHT	0.38429174	.
112L2	 28	4	12303.00	1990.706	 995.353	 3167.657	LIGHT	0.32039456	.
112L2	 29	4	12582.00	2317.000	1158.500	 3686.864	LIGHT	0.29206905	.
112L2	 30	4	12813.00	2338.570	1169.285	 3721.186	LIGHT	0.27809197	.
112L2	 31	4	13020.00	2332.560	1166.280	 3711.623	LIGHT	0.23948788	.
112L2	 32	4	13395.75	2349.516	1174.758	 3738.604	DARK	0.24562828	.
112L2	 33	4	14046.50	2315.629	1157.815	 3684.683	DARK	0.21627721	.
112L2	 34	4	14326.50	2608.539	1304.270	 4150.768	DARK	0.18666624	.
