Genotype	TimePoint	N	CumXT.YT	sd	se	ci	Phase	ANOVA_pValue	Sign
112L2	 80	4	489112.50	128769.419	64384.709	204900.880	DARK	0.29997396	.
112L2	 81	4	495509.50	129408.411	64704.206	205917.660	DARK	0.28882723	.
112L2	 82	4	504184.75	129128.993	64564.496	205473.043	DARK	0.25507907	.
112L2	 83	4	510795.50	126074.160	63037.080	200612.122	DARK	0.23278409	.
112L2	 84	4	517536.75	123921.379	61960.690	197186.567	DARK	0.21991062	.
112L2	 85	4	526658.00	122809.967	61404.984	195418.063	DARK	0.19656125	.
112L2	 86	4	534595.75	118756.381	59378.190	188967.902	DARK	0.18518585	.
112L2	 87	4	541350.50	118042.597	59021.299	187832.113	LIGHT	0.17766848	.
112L2	 88	4	544394.50	119113.307	59556.654	189535.852	LIGHT	0.18435208	.
112L2	 89	4	549809.50	120978.027	60489.013	192503.037	LIGHT	0.18350021	.
112L2	 90	4	560503.25	121891.000	60945.500	193955.781	LIGHT	0.15251678	.
112L2	 91	4	566114.25	121562.694	60781.347	193433.374	LIGHT	0.15515109	.
112L2	 92	4	573411.50	122709.500	61354.750	195258.197	LIGHT	0.13620225	.
112L2	 93	4	578727.25	120785.684	60392.842	192196.977	LIGHT	0.11846215	.
112L2	 94	4	585454.50	117327.278	58663.639	186693.881	LIGHT	0.10778130	.
112L2	 95	4	591918.25	116668.182	58334.091	185645.112	LIGHT	0.09795831	.
112L2	 96	4	599939.25	114219.377	57109.688	181748.517	LIGHT	0.08552852	.
112L2	 97	4	607641.25	112051.651	56025.825	178299.181	LIGHT	0.07754867	.
112L2	 98	4	614590.50	113734.073	56867.037	180976.291	LIGHT	0.07158539	.
112L2	 99	4	622891.75	110820.085	55410.042	176339.485	LIGHT	0.05628354	.
112L2	100	4	631096.50	107643.408	53821.704	171284.683	LIGHT	0.04805901	*
112L2	101	4	636215.25	108307.065	54153.532	172340.709	LIGHT	0.04584719	*
112L2	102	4	640903.75	108644.964	54322.482	172878.382	LIGHT	0.04501398	*
112L2	103	4	645946.75	108428.744	54214.372	172534.329	LIGHT	0.04639046	*
112L2	104	4	649640.25	110989.728	55494.864	176609.424	LIGHT	0.04797496	*
112L2	105	4	656435.50	111201.375	55600.687	176946.202	DARK	0.04992876	*
112L2	106	4	663413.00	114364.989	57182.495	181980.219	DARK	0.05824032	.
112L2	107	4	671036.00	115399.289	57699.644	183626.020	DARK	0.05808145	.
112L2	108	4	677154.75	116449.550	58224.775	185297.221	DARK	0.05910441	.
112L2	109	4	681267.50	115009.173	57504.587	183005.259	DARK	0.05625491	.
112L2	110	4	686706.25	113198.133	56599.067	180123.491	DARK	0.05642210	.
112L2	111	4	694423.75	113697.881	56848.940	180918.700	DARK	0.05387700	.
WT	  1	4	  4248.50	  2085.962	 1042.981	  3319.230	DARK	0.15411408	.
WT	  2	4	 13606.75	  4356.962	 2178.481	  6932.898	DARK	0.14267795	.
WT	  3	4	 23018.50	  7331.759	 3665.880	 11666.465	DARK	0.57440658	.
WT	  4	4	 30839.25	 10475.640	 5237.820	 16669.081	DARK	0.63455626	.
WT	  5	4	 35433.50	  8673.870	 4336.935	 13802.062	DARK	0.76000643	.
WT	  6	4	 39190.50	  7334.405	 3667.203	 11670.675	DARK	0.51013258	.
WT	  7	4	 44742.50	  9022.951	 4511.476	 14357.529	DARK	0.43204322	.
WT	  8	4	 49164.50	 11361.853	 5680.926	 18079.243	DARK	0.40577690	.
WT	  9	4	 52093.25	  9733.332	 4866.666	 15487.903	DARK	0.41011804	.
WT	 10	4	 55618.25	 10083.604	 5041.802	 16045.265	DARK	0.32839849	.
WT	 11	4	 57545.25	 11420.697	 5710.349	 18172.878	DARK	0.17910211	.
WT	 12	4	 64275.00	 11467.037	 5733.519	 18246.615	DARK	0.20658566	.
WT	 13	4	 74335.00	 13658.533	 6829.266	 21733.774	LIGHT	0.47671867	.
