Genotype	TimePoint	N	PerA	sd	se	ci	Phase	ANOVA_pValue	Sign
WT	 19	4	2304.25	1686.184	 843.092	 2683.095	LIGHT	0.3333281037	.
WT	 20	4	2418.00	2784.813	1392.406	 4431.259	LIGHT	0.1605692332	.
WT	 21	4	1713.00	1655.853	 827.927	 2634.832	LIGHT	0.0408307167	*
WT	 22	4	1344.25	1548.719	 774.359	 2464.357	LIGHT	0.0783389453	.
WT	 23	4	 871.00	 938.209	 469.105	 1492.900	LIGHT	0.2428294250	.
WT	 24	4	4069.75	2858.255	1429.128	 4548.122	LIGHT	0.5917244704	.
WT	 25	4	2871.25	3247.519	1623.760	 5167.528	LIGHT	0.2603794962	.
WT	 26	4	3963.50	4110.726	2055.363	 6541.082	LIGHT	0.2331929934	.
WT	 27	4	2602.25	2132.649	1066.324	 3393.520	LIGHT	0.1401268224	.
WT	 28	4	2142.75	2718.560	1359.280	 4325.835	LIGHT	0.5389817616	.
WT	 29	4	5778.50	5486.419	2743.209	 8730.116	LIGHT	0.1786995787	.
WT	 30	4	4133.75	2993.632	1496.816	 4763.536	LIGHT	0.4023597228	.
WT	 31	4	2741.50	1523.157	 761.579	 2423.683	LIGHT	0.3666799041	.
WT	 32	4	5876.25	3255.783	1627.892	 5180.678	DARK	0.1518669108	.
WT	 33	4	6025.75	 434.841	 217.421	  691.929	DARK	0.6737061601	.
WT	 34	4	4477.75	2371.679	1185.840	 3773.871	DARK	0.9395944178	.
WT	 35	4	2656.00	1042.012	 521.006	 1658.074	DARK	0.2621525671	.
WT	 36	4	3952.50	2070.091	1035.045	 3293.976	DARK	0.6795507580	.
WT	 37	4	4156.25	3527.959	1763.979	 5613.770	DARK	0.6052610431	.
WT	 38	4	5091.00	2770.883	1385.441	 4409.092	DARK	0.3982413136	.
WT	 39	4	3503.50	1558.113	 779.057	 2479.306	DARK	0.1995784986	.
WT	 40	4	3067.75	3469.413	1734.707	 5520.610	DARK	0.6546182139	.
WT	 41	4	3498.00	2111.126	1055.563	 3359.272	DARK	0.8468748666	.
WT	 42	4	2282.00	1511.289	 755.645	 2404.799	DARK	0.6733825686	.
WT	 43	4	2270.00	1975.455	 987.727	 3143.389	DARK	0.1822305932	.
WT	 44	4	1877.00	1296.488	 648.244	 2063.001	DARK	0.4293984986	.
WT	 45	4	3071.25	2292.586	1146.293	 3648.016	DARK	0.6290650393	.
WT	 46	4	2792.50	2880.950	1440.475	 4584.234	DARK	0.5879698833	.
WT	 47	4	1453.75	 558.651	 279.325	  888.938	DARK	0.2352194407	.
WT	 48	4	2671.75	1807.551	 903.775	 2876.216	DARK	0.5086916565	.
WT	 49	4	4739.00	2833.816	1416.908	 4509.234	DARK	0.1158067265	.
WT	 50	4	3661.25	 726.150	 363.075	 1155.466	LIGHT	0.9165323905	.
WT	 51	4	2004.75	3240.400	1620.200	 5156.200	LIGHT	0.8161860038	.
WT	 52	4	2740.75	1313.169	 656.585	 2089.545	LIGHT	0.3002899014	.
WT	 53	4	1406.50	1739.775	 869.888	 2768.371	LIGHT	0.2507600106	.
WT	 54	4	2900.00	4322.380	2161.190	 6877.870	LIGHT	0.4226236509	.
WT	 55	4	1427.75	1476.078	 738.039	 2348.769	LIGHT	0.1493981029	.
WT	 56	4	 781.00	 747.872	 373.936	 1190.031	LIGHT	0.1136133431	.
WT	 57	4	1801.75	2474.316	1237.158	 3937.188	LIGHT	0.2446252912	.
WT	 58	4	1309.00	1294.743	 647.372	 2060.225	LIGHT	0.3317023242	.
WT	 59	4	 212.75	 269.358	 134.679	  428.608	LIGHT	0.0441289903	*
WT	 60	4	 858.00	 726.741	 363.371	 1156.407	LIGHT	0.0173847512	*
WT	 61	4	1044.00	1052.275	 526.137	 1674.404	LIGHT	0.1002383893	.
WT	 62	4	1957.25	1856.131	 928.066	 2953.519	LIGHT	0.2898069274	.
WT	 63	4	3132.00	3533.466	1766.733	 5622.533	LIGHT	0.3007896408	.
WT	 64	4	1887.75	1704.658	 852.329	 2712.491	LIGHT	0.0119474475	*
WT	 65	4	1085.75	1138.685	 569.343	 1811.902	LIGHT	0.0015910268	***
WT	 66	4	 848.00	 640.444	 320.222	 1019.089	LIGHT	0.5107294430	.
WT	 67	4	3568.25	2619.254	1309.627	 4167.817	LIGHT	0.1328632363	.
WT	 68	4	2750.25	1824.597	 912.298	 2903.340	LIGHT	0.2974187089	.
WT	 69	4	7039.00	 885.179	 442.590	 1408.518	DARK	0.0004753912	****
WT	 70	4	5186.25	1545.375	 772.688	 2459.037	DARK	0.0513188927	.
WT	 71	4	3716.25	2189.535	1094.768	 3484.039	DARK	0.2711358376	.
WT	 72	4	3769.00	1744.586	 872.293	 2776.026	DARK	0.0769079557	.
WT	 73	4	4088.75	1478.177	 739.089	 2352.110	DARK	0.2618616740	.
WT	 74	4	4817.25	2674.756	1337.378	 4256.134	DARK	0.2134980755	.
WT	 75	4	3329.00	2234.990	1117.495	 3556.368	DARK	0.5575860134	.
WT	 76	4	2470.00	2256.531	1128.266	 3590.645	DARK	0.6456411558	.
WT	 77	4	1815.50	1440.158	 720.079	 2291.612	DARK	0.2794446620	.
WT	 78	4	2339.75	1173.455	 586.728	 1867.229	DARK	0.4610455013	.
WT	 79	4	2926.00	1282.156	 641.078	 2040.196	DARK	0.6739210667	.
WT	 80	4	3885.00	1989.432	 994.716	 3165.631	DARK	0.5041088712	.
WT	 81	4	1086.25	 989.918	 494.959	 1575.181	DARK	0.1130249030	.
WT	 82	4	1711.75	1311.776	 655.888	 2087.328	DARK	0.0268576859	*
WT	 83	4	1794.25	1768.202	 884.101	 2813.603	DARK	0.4233721881	.
