Genotype	TimePoint	N	CumYA	sd	se	ci	Phase	ANOVA_pValue	Sign
WT	 62	4	137222.50	 76407.416	38203.708	121581.249	LIGHT	0.038435804	*
WT	 63	4	140117.25	 78939.723	39469.861	125610.715	LIGHT	0.041789730	*
WT	 64	4	141850.50	 80454.118	40227.059	128020.456	LIGHT	0.038808942	*
WT	 65	4	142895.50	 81135.501	40567.750	129104.687	LIGHT	0.035097209	*
WT	 66	4	143800.25	 81688.294	40844.147	129984.305	LIGHT	0.037036834	*
WT	 67	4	146437.75	 83048.615	41524.308	132148.880	LIGHT	0.036720701	*
WT	 68	4	148943.25	 84911.298	42455.649	135112.824	LIGHT	0.038464162	*
WT	 69	4	153698.75	 85944.461	42972.231	136756.816	DARK	0.039969466	*
WT	 70	4	156831.50	 85591.776	42795.888	136195.616	DARK	0.040316766	*
WT	 71	4	159218.00	 85782.295	42891.147	136498.773	DARK	0.038467986	*
WT	 72	4	162308.75	 87589.801	43794.900	139374.919	DARK	0.041183500	*
WT	 73	4	165396.75	 88861.010	44430.505	141397.697	DARK	0.039490080	*
WT	 74	4	168701.00	 90443.609	45221.804	143915.964	DARK	0.040256461	*
WT	 75	4	171073.75	 91664.526	45832.263	145858.717	DARK	0.040522507	*
WT	 76	4	173057.00	 91765.451	45882.726	146019.311	DARK	0.037166217	*
WT	 77	4	174279.75	 91125.246	45562.623	145000.602	DARK	0.034005279	*
WT	 78	4	176381.50	 91831.157	45915.579	146123.863	DARK	0.031142968	*
WT	 79	4	178326.75	 91399.234	45699.617	145436.577	DARK	0.028515735	*
WT	 80	4	180756.00	 91038.089	45519.045	144861.916	DARK	0.027352882	*
WT	 81	4	181676.75	 91127.620	45563.810	145004.378	DARK	0.027026775	*
WT	 82	4	182851.25	 90409.547	45204.773	143861.764	DARK	0.024286329	*
WT	 83	4	184165.25	 90820.781	45410.390	144516.129	DARK	0.022905835	*
WT	 84	4	185105.50	 90912.456	45456.228	144662.005	DARK	0.020483830	*
WT	 85	4	186552.00	 90964.254	45482.127	144744.426	DARK	0.017835933	*
WT	 86	4	189221.25	 91122.535	45561.267	144996.287	DARK	0.016755840	*
WT	 87	4	190821.00	 92160.245	46080.123	146647.516	LIGHT	0.015580372	*
WT	 88	4	192476.75	 92869.167	46434.583	147775.568	LIGHT	0.015620868	*
WT	 89	4	194418.00	 93485.208	46742.604	148755.827	LIGHT	0.015586910	*
WT	 90	4	195513.75	 93953.865	46976.932	149501.565	LIGHT	0.013925785	*
