Genotype	TimePoint	N	CumCenF	sd	se	ci	Phase	ANOVA_pValue	Sign
WT	 38	4	 8916.75	 3381.678	1690.839	 5381.004	DARK	0.12080146	.
WT	 39	4	 9315.25	 3702.218	1851.109	 5891.056	DARK	0.11901382	.
WT	 40	4	 9400.50	 3722.557	1861.279	 5923.419	DARK	0.10579053	.
WT	 41	4	 9831.25	 3834.844	1917.422	 6102.093	DARK	0.11857153	.
WT	 42	4	10047.25	 4081.595	2040.798	 6494.729	DARK	0.11945036	.
WT	 43	4	10241.00	 4023.169	2011.584	 6401.760	DARK	0.10530730	.
WT	 44	4	10434.50	 4369.414	2184.707	 6952.714	DARK	0.09563708	.
WT	 45	4	10662.00	 4521.938	2260.969	 7195.412	DARK	0.09159888	.
WT	 46	4	10958.50	 4774.402	2387.201	 7597.139	DARK	0.10290487	.
WT	 47	4	11136.75	 4907.653	2453.827	 7809.172	DARK	0.11172424	.
WT	 48	4	11430.75	 5069.915	2534.958	 8067.367	DARK	0.11280172	.
WT	 49	4	11830.00	 5220.020	2610.010	 8306.216	DARK	0.12789242	.
WT	 50	4	12321.00	 5459.289	2729.644	 8686.947	LIGHT	0.12622946	.
WT	 51	4	12617.75	 5427.864	2713.932	 8636.943	LIGHT	0.12204621	.
WT	 52	4	12873.50	 5568.904	2784.452	 8861.368	LIGHT	0.13200096	.
WT	 53	4	13058.50	 5632.868	2816.434	 8963.151	LIGHT	0.12937503	.
WT	 54	4	13253.75	 5793.118	2896.559	 9218.143	LIGHT	0.12769681	.
WT	 55	4	13341.75	 5823.158	2911.579	 9265.943	LIGHT	0.12453712	.
WT	 56	4	13439.75	 5926.733	2963.367	 9430.755	LIGHT	0.12293585	.
WT	 57	4	13720.50	 5962.764	2981.382	 9488.089	LIGHT	0.12063830	.
WT	 58	4	13927.50	 5965.515	2982.757	 9492.465	LIGHT	0.12096012	.
WT	 59	4	13967.00	 5987.079	2993.540	 9526.779	LIGHT	0.12092501	.
WT	 60	4	14073.00	 6117.599	3058.800	 9734.465	LIGHT	0.12496714	.
WT	 61	4	14241.00	 6210.840	3105.420	 9882.832	LIGHT	0.12954726	.
WT	 62	4	14508.75	 6254.479	3127.240	 9952.272	LIGHT	0.12633443	.
WT	 63	4	14664.25	 6437.991	3218.996	10244.281	LIGHT	0.12902333	.
WT	 64	4	14795.50	 6430.293	3215.146	10232.031	LIGHT	0.12853906	.
