Genotype	TimePoint	N	PerT	sd	se	ci	Phase	ANOVA_pValue	Sign
112L2	 55	4	 7212.00	 6125.842	3062.921	 9747.582	LIGHT	0.1542352618	.
112L2	 56	4	 4782.00	 4010.594	2005.297	 6381.750	LIGHT	0.1238461332	.
112L2	 57	4	 6064.75	 5105.254	2552.627	 8123.598	LIGHT	0.2126438709	.
112L2	 58	4	 4399.00	 4971.877	2485.938	 7911.366	LIGHT	0.2997948133	.
112L2	 59	4	 4340.00	 3377.088	1688.544	 5373.701	LIGHT	0.0375753965	*
112L2	 60	4	 3647.25	 1862.305	 931.152	 2963.342	LIGHT	0.0119090872	*
112L2	 61	4	 3164.75	 2292.678	1146.339	 3648.162	LIGHT	0.0730992618	.
112L2	 62	4	 4193.50	 3558.331	1779.166	 5662.099	LIGHT	0.2926906026	.
112L2	 63	4	 3216.00	 3028.258	1514.129	 4818.635	LIGHT	0.2725172380	.
112L2	 64	4	 5451.75	 1942.400	 971.200	 3090.791	LIGHT	0.0113280461	*
112L2	 65	4	 5097.00	 1100.028	 550.014	 1750.390	LIGHT	0.0016588267	***
112L2	 66	4	 4197.25	 5557.181	2778.590	 8842.715	LIGHT	0.5194090908	.
112L2	 67	4	 4672.75	 3113.072	1556.536	 4953.592	LIGHT	0.0954247946	.
112L2	 68	4	 3061.00	 1841.375	 920.688	 2930.039	LIGHT	0.2578280795	.
112L2	 69	4	 3754.50	 1766.613	 883.307	 2811.076	DARK	0.0008262000	****
112L2	 70	4	 2896.50	 1582.408	 791.204	 2517.964	DARK	0.0636536418	.
112L2	 71	4	 4507.75	 1491.748	 745.874	 2373.703	DARK	0.2646999164	.
112L2	 72	4	 1777.25	 1360.402	 680.201	 2164.704	DARK	0.0794939291	.
112L2	 73	4	 4460.50	 2590.463	1295.232	 4122.005	DARK	0.2468746817	.
112L2	 74	4	 3657.50	 1850.067	 925.034	 2943.870	DARK	0.1795844611	.
112L2	 75	4	 2831.00	  665.529	 332.764	 1059.005	DARK	0.5486834249	.
112L2	 76	4	 4181.75	 2169.467	1084.733	 3452.106	DARK	0.6481901352	.
112L2	 77	4	 4212.50	  999.119	 499.560	 1589.821	DARK	0.1771120462	.
112L2	 78	4	 5512.25	 4332.485	2166.243	 6893.951	DARK	0.4720044814	.
112L2	 79	4	 5461.75	 5640.201	2820.101	 8974.818	DARK	0.6803584461	.
112L2	 80	4	 4558.25	 1756.598	 878.299	 2795.140	DARK	0.5137362241	.
112L2	 81	4	 4720.75	 2558.275	1279.138	 4070.787	DARK	0.1214267183	.
112L2	 82	4	 6040.75	 1987.423	 993.712	 3162.434	DARK	0.0235979165	*
112L2	 83	4	 4940.00	 4902.337	2451.168	 7800.712	DARK	0.4326037871	.
112L2	 84	4	 6189.25	 2693.738	1346.869	 4286.338	DARK	0.0236064864	*
112L2	 85	4	 7370.75	 3000.041	1500.020	 4773.734	DARK	0.0211142844	*
112L2	 86	4	 5754.00	 3699.993	1849.997	 5887.515	DARK	0.3793260211	.
112L2	 87	4	 6216.50	 2037.530	1018.765	 3242.164	LIGHT	0.0995441186	.
112L2	 88	4	 2461.75	  823.051	 411.525	 1309.658	LIGHT	0.9353963250	.
112L2	 89	4	 4173.75	 1046.093	 523.047	 1664.568	LIGHT	0.4929193011	.
112L2	 90	4	 6076.25	 2413.536	1206.768	 3840.474	LIGHT	0.0037735602	***
112L2	 91	4	 4160.50	 3167.616	1583.808	 5040.384	LIGHT	0.8687691115	.
112L2	 92	4	 5223.25	 1967.848	 983.924	 3131.286	LIGHT	0.0005137962	****
112L2	 93	4	 4391.25	 1623.119	 811.559	 2582.744	LIGHT	0.0003916460	****
112L2	 94	4	 6435.75	 3318.346	1659.173	 5280.229	LIGHT	0.0846044228	.
112L2	 95	4	 6463.75	 3805.688	1902.844	 6055.699	LIGHT	0.0889363686	.
112L2	 96	4	 6978.00	 2733.387	1366.694	 4349.429	LIGHT	0.0323765891	*
112L2	 97	4	 7702.00	 5229.371	2614.686	 8321.097	LIGHT	0.0939759078	.
112L2	 98	4	 6834.50	 3722.491	1861.245	 5923.313	LIGHT	0.0316496534	*
112L2	 99	4	 7923.00	 6042.533	3021.266	 9615.018	LIGHT	0.0891292276	.
112L2	100	4	 7951.25	 5584.273	2792.136	 8885.824	LIGHT	0.0675807466	.
112L2	101	4	 4781.25	 2942.154	1471.077	 4681.623	LIGHT	0.0648321315	.
112L2	102	4	 3890.25	 2292.616	1146.308	 3648.064	LIGHT	0.2489782592	.
112L2	103	4	 4463.25	 3420.458	1710.229	 5442.712	LIGHT	0.8604949614	.
112L2	104	4	 3693.50	 3421.535	1710.767	 5444.425	LIGHT	0.5558038044	.
112L2	105	4	 6734.25	 3354.464	1677.232	 5337.701	DARK	0.3350961659	.
112L2	106	4	 6340.00	 3497.015	1748.507	 5564.531	DARK	0.7721305890	.
112L2	107	4	 6634.75	 4366.003	2183.001	 6947.285	DARK	0.1595053044	.
112L2	108	4	 5283.25	 2332.430	1166.215	 3711.416	DARK	0.0275870324	*
112L2	109	4	 4029.50	 1573.917	 786.958	 2504.453	DARK	0.3970603852	.
112L2	110	4	 3944.25	  932.731	 466.365	 1484.182	DARK	0.6786940624	.
112L2	111	4	 4784.25	 3044.272	1522.136	 4844.116	DARK	0.2011911025	.
WT	  1	4	 3529.00	 1300.636	 650.318	 2069.602	DARK	0.5722384387	.
WT	  2	4	 6943.75	 3665.268	1832.634	 5832.260	DARK	0.1752427696	.
WT	  3	4	 6534.50	 3617.749	1808.874	 5756.646	DARK	0.1876430510	.
WT	  4	4	 5538.75	 5925.612	2962.806	 9428.971	DARK	0.6674815175	.
WT	  5	4	 3542.50	 1632.845	 816.423	 2598.221	DARK	0.1721460726	.
WT	  6	4	 2912.00	 2300.327	1150.163	 3660.333	DARK	0.1199576301	.
WT	  7	4	 4702.25	 3046.443	1523.222	 4847.571	DARK	0.4079106072	.
WT	  8	4	 3238.50	 2580.662	1290.331	 4106.408	DARK	0.8483806907	.
WT	  9	4	 2373.25	 1972.625	 986.313	 3138.887	DARK	0.8571365831	.
WT	 10	4	 2725.00	 1798.087	 899.043	 2861.158	DARK	0.0902112954	.
WT	 11	4	 1386.75	 1209.485	 604.743	 1924.561	DARK	0.1348839186	.
WT	 12	4	 5149.50	 3027.022	1513.511	 4816.668	DARK	0.1792196063	.
WT	 13	4	 6557.25	 3639.590	1819.795	 5791.400	LIGHT	0.1563352394	.
WT	 14	4	 3979.75	 3768.714	1884.357	 5996.865	LIGHT	0.5532492584	.
WT	 15	4	 2779.00	 2411.758	1205.879	 3837.646	LIGHT	0.7847840103	.
WT	 16	4	 1607.00	 1042.648	 521.324	 1659.085	LIGHT	0.6176663864	.
WT	 17	4	 3845.00	 4148.079	2074.040	 6600.520	LIGHT	0.3326706781	.
WT	 18	4	 2823.75	 3043.570	1521.785	 4842.999	LIGHT	0.5678733534	.
WT	 19	4	 3082.00	 1751.308	 875.654	 2786.721	LIGHT	0.3355508865	.
WT	 20	4	 3181.25	 3402.741	1701.371	 5414.520	LIGHT	0.1775977127	.
WT	 21	4	 2266.50	 2106.471	1053.236	 3351.866	LIGHT	0.0443676104	*
WT	 22	4	 1906.00	 2090.290	1045.145	 3326.118	LIGHT	0.0772399317	.
WT	 23	4	 1296.75	 1288.676	 644.338	 2050.571	LIGHT	0.2526823175	.
WT	 24	4	 4947.75	 3402.181	1701.091	 5413.630	LIGHT	0.6224295679	.
WT	 25	4	 3550.25	 3929.106	1964.553	 6252.084	LIGHT	0.2898533024	.
WT	 26	4	 4887.75	 4773.577	2386.789	 7595.827	LIGHT	0.2414380824	.
WT	 27	4	 3463.75	 2596.874	1298.437	 4132.207	LIGHT	0.1058002472	.
WT	 28	4	 2774.00	 3102.155	1551.078	 4936.222	LIGHT	0.5212829178	.
WT	 29	4	 6770.50	 6145.941	3072.970	 9779.563	LIGHT	0.1780942950	.
WT	 30	4	 5200.75	 3555.928	1777.964	 5658.275	LIGHT	0.4111118346	.
WT	 31	4	 3591.25	 1893.091	 946.545	 3012.330	LIGHT	0.3782287464	.
WT	 32	4	 7253.75	 3741.763	1870.882	 5953.980	DARK	0.1577772501	.
WT	 33	4	 7367.25	  499.922	 249.961	  795.487	DARK	0.6534319310	.
WT	 34	4	 5623.00	 2684.931	1342.466	 4272.325	DARK	0.9659943515	.
WT	 35	4	 3479.00	 1186.982	 593.491	 1888.753	DARK	0.2415623169	.
WT	 36	4	 4999.50	 2404.728	1202.364	 3826.459	DARK	0.6806341124	.
WT	 37	4	 5234.25	 4178.551	2089.275	 6649.007	DARK	0.5908163062	.
WT	 38	4	 6305.50	 3408.265	1704.133	 5423.310	DARK	0.4170006229	.
WT	 39	4	 4335.00	 2024.589	1012.295	 3221.573	DARK	0.2427978591	.
WT	 40	4	 3760.00	 4004.766	2002.383	 6372.476	DARK	0.6882283735	.
WT	 41	4	 4432.25	 2444.028	1222.014	 3888.994	DARK	0.8689786364	.
WT	 42	4	 2884.25	 1908.262	 954.131	 3036.471	DARK	0.5870933148	.
WT	 43	4	 2928.25	 2273.631	1136.816	 3617.854	DARK	0.1640796342	.
WT	 44	4	 2399.25	 1580.693	 790.346	 2515.235	DARK	0.3819490211	.
WT	 45	4	 4013.75	 2846.713	1423.357	 4529.756	DARK	0.6813215866	.
WT	 46	4	 3676.75	 3427.785	1713.893	 5454.372	DARK	0.5616203207	.
WT	 47	4	 2024.00	  763.362	 381.681	 1214.680	DARK	0.2025071144	.
WT	 48	4	 3432.00	 2252.737	1126.368	 3584.607	DARK	0.4341588610	.
WT	 49	4	 5843.50	 3479.592	1739.796	 5536.808	DARK	0.1098539355	.
WT	 50	4	 4680.00	  763.966	 381.983	 1215.640	LIGHT	0.8935313062	.
WT	 51	4	 2589.75	 3873.531	1936.765	 6163.652	LIGHT	0.7579088039	.
WT	 52	4	 3487.25	 1627.821	 813.910	 2590.226	LIGHT	0.2547826502	.
WT	 53	4	 1883.75	 2246.829	1123.415	 3575.206	LIGHT	0.2283182109	.
WT	 54	4	 3769.00	 5303.591	2651.795	 8439.197	LIGHT	0.4233691742	.
WT	 55	4	 1930.75	 1835.181	 917.591	 2920.183	LIGHT	0.1542352618	.
WT	 56	4	 1209.00	  959.526	 479.763	 1526.819	LIGHT	0.1238461332	.
WT	 57	4	 2387.25	 3115.411	1557.706	 4957.314	LIGHT	0.2126438709	.
WT	 58	4	 1828.00	 1682.700	 841.350	 2677.551	LIGHT	0.2997948133	.
WT	 59	4	  463.50	  576.432	 288.216	  917.232	LIGHT	0.0375753965	*
WT	 60	4	 1202.75	  989.739	 494.869	 1574.895	LIGHT	0.0119090872	*
WT	 61	4	 1457.00	 1425.445	 712.723	 2268.202	LIGHT	0.0730992618	.
WT	 62	4	 2505.50	 2304.983	1152.492	 3667.743	LIGHT	0.2926906026	.
WT	 63	4	 3741.50	 3857.120	1928.560	 6137.539	LIGHT	0.2725172380	.
WT	 64	4	 2538.75	 2255.371	1127.685	 3588.798	LIGHT	0.0113280461	*
WT	 65	4	 1568.75	 1354.871	 677.436	 2155.902	LIGHT	0.0016588267	***
WT	 66	4	 1211.00	  838.682	 419.341	 1334.529	LIGHT	0.5194090908	.
WT	 67	4	 4467.00	 3011.429	1505.714	 4791.855	LIGHT	0.0954247946	.
WT	 68	4	 3431.75	 2056.423	1028.212	 3272.229	LIGHT	0.2578280795	.
WT	 69	4	 8540.50	  845.810	 422.905	 1345.873	DARK	0.0008262000	****
WT	 70	4	 6506.00	 1694.564	 847.282	 2696.430	DARK	0.0636536418	.
WT	 71	4	 4531.25	 2659.881	1329.941	 4232.464	DARK	0.2646999164	.
WT	 72	4	 4787.50	 2051.384	1025.692	 3264.210	DARK	0.0794939291	.
WT	 73	4	 5132.25	 1863.132	 931.566	 2964.659	DARK	0.2468746817	.
WT	 74	4	 5964.50	 2913.628	1456.814	 4636.232	DARK	0.1795844611	.
WT	 75	4	 4244.00	 2610.660	1305.330	 4154.142	DARK	0.5486834249	.
WT	 76	4	 3147.50	 2656.303	1328.152	 4226.771	DARK	0.6481901352	.
WT	 77	4	 2382.00	 1748.399	 874.200	 2782.094	DARK	0.1771120462	.
WT	 78	4	 3108.25	 1486.528	 743.264	 2365.397	DARK	0.4720044814	.
