Genotype	TimePoint	N	CumCenA	sd	se	ci	Phase	ANOVA_pValue	Sign
WT	 63	4	 56608.50	13848.860	 6924.430	22036.627	LIGHT	0.10879568	.
WT	 64	4	 56943.25	13774.171	 6887.086	21917.780	LIGHT	0.10736925	.
WT	 65	4	 57433.50	13993.038	 6996.519	22266.047	LIGHT	0.10618894	.
WT	 66	4	 57698.25	14079.580	 7039.790	22403.754	LIGHT	0.09349359	.
WT	 67	4	 59191.25	14321.256	 7160.628	22788.314	LIGHT	0.10468436	.
WT	 68	4	 59861.75	14870.910	 7435.455	23662.937	LIGHT	0.10754036	.
WT	 69	4	 63108.25	15140.205	 7570.102	24091.445	DARK	0.12305913	.
WT	 70	4	 65612.00	15363.362	 7681.681	24446.538	DARK	0.12379727	.
WT	 71	4	 67030.75	16300.895	 8150.448	25938.362	DARK	0.13022372	.
WT	 72	4	 68031.00	16929.525	 8464.763	26938.653	DARK	0.11997451	.
WT	 73	4	 69896.00	16609.770	 8304.885	26429.851	DARK	0.08185936	.
WT	 74	4	 72161.75	15540.773	 7770.386	24728.837	DARK	0.06036502	.
WT	 75	4	 73633.50	15352.648	 7676.324	24429.489	DARK	0.06165617	.
WT	 76	4	 74554.00	15658.320	 7829.160	24915.881	DARK	0.06865790	.
WT	 77	4	 75541.25	16437.513	 8218.757	26155.752	DARK	0.07547626	.
WT	 78	4	 76658.00	16728.071	 8364.036	26618.094	DARK	0.07031922	.
WT	 79	4	 77744.50	16671.413	 8335.707	26527.939	DARK	0.06849524	.
WT	 80	4	 79375.00	17444.761	 8722.381	27758.508	DARK	0.07569592	.
WT	 81	4	 79663.75	17431.261	 8715.630	27737.026	DARK	0.06868293	.
WT	 82	4	 80587.00	18643.355	 9321.677	29665.738	DARK	0.07383340	.
WT	 83	4	 81177.75	18530.478	 9265.239	29486.126	DARK	0.07734844	.
WT	 84	4	 81476.25	18897.876	 9448.938	30070.738	DARK	0.07233675	.
WT	 85	4	 82302.75	19422.752	 9711.376	30905.932	DARK	0.07592263	.
WT	 86	4	 84327.00	19885.915	 9942.958	31642.929	DARK	0.08013397	.
WT	 87	4	 86128.25	19737.798	 9868.899	31407.241	LIGHT	0.07029369	.
WT	 88	4	 87407.00	19902.178	 9951.089	31668.807	LIGHT	0.06457258	.
WT	 89	4	 88351.50	20827.744	10413.872	33141.588	LIGHT	0.06527178	.
WT	 90	4	 88515.50	20985.642	10492.821	33392.840	LIGHT	0.07093964	.
WT	 91	4	 89515.75	21736.574	10868.287	34587.740	LIGHT	0.07373144	.
WT	 92	4	 89829.50	21825.489	10912.744	34729.223	LIGHT	0.07413430	.
WT	 93	4	 90066.75	22057.797	11028.899	35098.878	LIGHT	0.07388717	.
WT	 94	4	 91259.00	21297.348	10648.674	33888.833	LIGHT	0.07539642	.
WT	 95	4	 91630.75	21891.988	10945.994	34835.038	LIGHT	0.07517825	.
