Genotype	TimePoint	N	CumPerT	sd	se	ci	Phase	ANOVA_pValue	Sign
112L2	 43	4	204817.75	 52996.747	26498.374	 84329.651	DARK	0.33387716	.
112L2	 44	4	209376.00	 55759.655	27879.827	 88726.054	DARK	0.33534085	.
112L2	 45	4	213963.75	 57092.766	28546.383	 90847.331	DARK	0.33672217	.
112L2	 46	4	218584.50	 57360.912	28680.456	 91274.012	DARK	0.32214864	.
112L2	 47	4	223663.50	 60894.167	30447.084	 96896.209	DARK	0.30979394	.
112L2	 48	4	228520.75	 62935.464	31467.732	100144.367	DARK	0.30688186	.
112L2	 49	4	234915.75	 63716.212	31858.106	101386.712	DARK	0.28254163	.
112L2	 50	4	239426.00	 65297.550	32648.775	103902.974	LIGHT	0.28414678	.
112L2	 51	4	242825.00	 66803.396	33401.698	106299.110	LIGHT	0.28387011	.
112L2	 52	4	249184.25	 74867.797	37433.899	119131.373	LIGHT	0.26921407	.
112L2	 53	4	258028.50	 85306.427	42653.214	135741.562	LIGHT	0.25221598	.
112L2	 54	4	262659.25	 90237.682	45118.841	143588.289	LIGHT	0.24815938	.
112L2	 55	4	269871.25	 93406.453	46703.227	148630.511	LIGHT	0.23344562	.
112L2	 56	4	274653.25	 95548.929	47774.464	152039.667	LIGHT	0.22171680	.
112L2	 57	4	280718.00	 99679.076	49839.538	158611.654	LIGHT	0.21001720	.
112L2	 58	4	285117.00	104486.465	52243.233	166261.283	LIGHT	0.20792254	.
112L2	 59	4	289457.00	106822.622	53411.311	169978.630	LIGHT	0.19635742	.
112L2	 60	4	293104.25	108416.408	54208.204	172514.699	LIGHT	0.18725593	.
112L2	 61	4	296269.00	110593.689	55296.845	175979.239	LIGHT	0.18162884	.
112L2	 62	4	300462.50	113422.754	56711.377	180480.912	LIGHT	0.18028068	.
112L2	 63	4	303678.50	116342.897	58171.448	185127.511	LIGHT	0.18173831	.
112L2	 64	4	309130.25	118189.617	59094.809	188066.055	LIGHT	0.17216644	.
112L2	 65	4	314227.25	118557.260	59278.630	188651.057	LIGHT	0.16031922	.
112L2	 66	4	318424.50	124004.169	62002.084	197318.304	LIGHT	0.16848553	.
112L2	 67	4	323097.25	126658.629	63329.314	201542.142	LIGHT	0.16453576	.
112L2	 68	4	326158.25	127742.151	63871.076	203266.268	LIGHT	0.16538003	.
112L2	 69	4	329912.75	127809.430	63904.715	203373.324	DARK	0.16534247	.
112L2	 70	4	332809.25	127943.381	63971.691	203586.470	DARK	0.16650813	.
112L2	 71	4	337317.00	127829.217	63914.609	203404.810	DARK	0.15875540	.
