Genotype	TimePoint	N	CenT	sd	se	ci	Phase	ANOVA_pValue	Sign
112L2	 92	4	2074.00	2401.576	1200.788	3821.444	LIGHT	0.1939811545	.
112L2	 93	4	 924.50	1549.199	 774.599	2465.121	LIGHT	0.4800918882	.
112L2	 94	4	 291.50	 351.860	 175.930	 559.888	LIGHT	0.1358423422	.
112L2	 95	4	   0.00	   0.000	   0.000	   0.000	LIGHT	0.3900126311	.
112L2	 96	4	1043.00	1500.912	 750.456	2388.287	LIGHT	0.4383747766	.
112L2	 97	4	   0.00	   0.000	   0.000	   0.000	LIGHT	0.4166970693	.
112L2	 98	4	 114.75	 229.500	 114.750	 365.186	LIGHT	0.6473570373	.
112L2	 99	4	 378.25	 672.010	 336.005	1069.318	LIGHT	0.4191838070	.
112L2	100	4	 253.50	 507.000	 253.500	 806.750	LIGHT	0.1714771061	.
112L2	101	4	 337.50	 478.478	 239.239	 761.366	LIGHT	0.2146519284	.
112L2	102	4	 798.25	 896.561	 448.280	1426.628	LIGHT	0.1362697014	.
112L2	103	4	 579.75	1159.500	 579.750	1845.023	LIGHT	0.5377907634	.
112L2	104	4	   0.00	   0.000	   0.000	   0.000	LIGHT	0.0329387985	*
112L2	105	4	  61.00	 122.000	  61.000	 194.129	DARK	0.0199774440	*
112L2	106	4	 637.50	1275.000	 637.500	2028.810	DARK	0.0763522218	.
112L2	107	4	 988.25	1396.301	 698.151	2221.827	DARK	0.1912914669	.
112L2	108	4	 835.50	 607.391	 303.695	 966.494	DARK	0.0008667516	****
112L2	109	4	  83.25	 166.500	  83.250	 264.939	DARK	0.0234119980	*
112L2	110	4	1494.50	1762.865	 881.433	2805.112	DARK	0.1753597746	.
112L2	111	4	2933.25	3347.206	1673.603	5326.151	DARK	0.9531276668	.
WT	  1	4	 719.50	1181.581	 590.791	1880.159	DARK	0.0726886381	.
WT	  2	4	2414.50	1333.710	 666.855	2122.230	DARK	0.1282461554	.
WT	  3	4	2877.25	1960.706	 980.353	3119.920	DARK	0.8939643523	.
WT	  4	4	2282.00	2292.486	1146.243	3647.857	DARK	0.5787039751	.
WT	  5	4	1051.75	1171.578	 585.789	1864.242	DARK	0.0099140558	**
WT	  6	4	 845.00	1300.477	 650.238	2069.348	DARK	0.4742779552	.
WT	  7	4	 849.75	 700.393	 350.197	1114.482	DARK	0.6319978445	.
WT	  8	4	1183.50	1039.837	 519.919	1654.613	DARK	0.7805068280	.
WT	  9	4	 555.50	1111.000	 555.500	1767.849	DARK	0.3132865803	.
WT	 10	4	 800.00	 794.333	 397.166	1263.961	DARK	0.0151085794	*
WT	 11	4	 540.25	 372.122	 186.061	 592.129	DARK	0.2226556022	.
WT	 12	4	1580.25	1616.154	 808.077	2571.662	DARK	0.9492941658	.
WT	 13	4	3502.75	1035.212	 517.606	1647.253	LIGHT	0.2309974603	.
WT	 14	4	1669.75	1567.723	 783.862	2494.598	LIGHT	0.4168721872	.
WT	 15	4	 670.75	 863.108	 431.554	1373.398	LIGHT	0.3770795960	.
WT	 16	4	  44.00	  88.000	  44.000	 140.028	LIGHT	0.5945502514	.
WT	 17	4	1112.75	1395.448	 697.724	2220.469	LIGHT	0.4782664124	.
WT	 18	4	1039.25	1970.036	 985.018	3134.767	LIGHT	0.9901652924	.
WT	 19	4	1092.75	1306.610	 653.305	2079.108	LIGHT	0.8163925105	.
WT	 20	4	 631.00	 786.900	 393.450	1252.134	LIGHT	0.5406133390	.
WT	 21	4	  59.25	  77.466	  38.733	 123.265	LIGHT	0.4358025587	.
WT	 22	4	 521.00	 623.798	 311.899	 992.602	LIGHT	0.5374683611	.
WT	 23	4	  84.00	 110.565	  55.283	 175.934	LIGHT	0.3997073137	.
WT	 24	4	1378.75	1712.226	 856.113	2724.534	LIGHT	0.3891332972	.
WT	 25	4	 383.00	 660.595	 330.298	1051.154	LIGHT	0.2085214660	.
WT	 26	4	 716.00	 970.626	 485.313	1544.482	LIGHT	0.6801968016	.
WT	 27	4	 908.00	1051.455	 525.728	1673.100	LIGHT	0.2597823150	.
WT	 28	4	  96.25	 192.500	  96.250	 306.310	LIGHT	0.2277478023	.
WT	 29	4	  72.25	 144.500	  72.250	 229.932	LIGHT	0.4004917088	.
WT	 30	4	1440.00	1034.173	 517.087	1645.601	LIGHT	0.3583183983	.
WT	 31	4	1165.75	1078.634	 539.317	1716.347	LIGHT	0.0824250317	.
WT	 32	4	1470.50	1421.699	 710.850	2262.241	DARK	0.9249809259	.
WT	 33	4	2993.25	 813.025	 406.513	1293.705	DARK	0.5076115773	.
WT	 34	4	1396.25	 709.211	 354.606	1128.514	DARK	0.0441133613	*
WT	 35	4	1152.50	 629.909	 314.955	1002.326	DARK	0.0948971127	.
WT	 36	4	1424.00	 871.108	 435.554	1386.128	DARK	0.4819029060	.
