Genotype	TimePoint	N	DistD	sd	se	ci	Phase	ANOVA_pValue	Sign
112L2	 29	4	 4822.50	 3764.108	 1882.054	 5989.536	LIGHT	0.5697564928	.
112L2	 30	4	 5495.75	 3923.485	 1961.742	 6243.140	LIGHT	0.4589430006	.
112L2	 31	4	 6133.25	 4083.853	 2041.927	 6498.322	LIGHT	0.5162136973	.
112L2	 32	4	 6126.25	 3750.557	 1875.278	 5967.973	DARK	0.9624670164	.
112L2	 33	4	 6749.25	 1970.470	  985.235	 3135.458	DARK	0.4483592040	.
112L2	 34	4	 6785.75	 4886.147	 2443.073	 7774.950	DARK	0.5967023463	.
112L2	 35	4	 5626.00	 2327.841	 1163.920	 3704.114	DARK	0.4363077507	.
112L2	 36	4	 6499.25	 2606.338	 1303.169	 4147.266	DARK	0.5495162336	.
112L2	 37	4	 8041.50	 3944.414	 1972.207	 6276.443	DARK	0.6201864779	.
112L2	 38	4	 8220.00	 4511.975	 2255.987	 7179.559	DARK	0.6080060639	.
112L2	 39	4	 7106.50	 4160.750	 2080.375	 6620.682	DARK	0.3681906833	.
112L2	 40	4	 7542.50	 2066.901	 1033.451	 3288.901	DARK	0.1931504020	.
112L2	 41	4	 9770.50	 6679.598	 3339.799	10628.731	DARK	0.2557062447	.
112L2	 42	4	12335.25	10447.458	 5223.729	16624.236	DARK	0.1641637261	.
112L2	 43	4	 9611.00	 4949.485	 2474.742	 7875.735	DARK	0.1287721914	.
112L2	 44	4	10303.50	 5173.411	 2586.706	 8232.052	DARK	0.0308642493	*
112L2	 45	4	 6320.75	 1623.067	  811.534	 2582.662	DARK	0.7593440850	.
112L2	 46	4	 7972.75	 2113.929	 1056.964	 3363.733	DARK	0.0487442250	*
112L2	 47	4	 6269.50	 3270.980	 1635.490	 5204.859	DARK	0.1855311424	.
112L2	 48	4	 6420.00	 4164.242	 2082.121	 6626.238	DARK	0.4367718053	.
112L2	 49	4	 8790.25	 4170.190	 2085.095	 6635.702	DARK	0.1199471613	.
