Genotype	TimePoint	N	TareFeed	sd	se	ci	Phase	ANOVA_pValue	Sign
112L2	 69	4	 7.092	1.461	0.731	2.325	DARK	0.13875493	.
112L2	 70	4	 7.213	1.612	0.806	2.565	DARK	0.16358688	.
112L2	 71	4	 7.328	1.563	0.781	2.487	DARK	0.18911403	.
112L2	 72	4	 7.460	1.762	0.881	2.804	DARK	0.23872101	.
112L2	 73	4	 7.520	1.733	0.867	2.758	DARK	0.31852218	.
112L2	 74	4	 7.720	1.745	0.873	2.777	DARK	0.28830458	.
112L2	 75	4	 7.722	1.742	0.871	2.772	DARK	0.32997661	.
112L2	 76	4	 7.768	1.737	0.868	2.763	DARK	0.42408259	.
112L2	 77	4	 8.078	1.839	0.919	2.926	DARK	0.39437773	.
112L2	 78	4	 8.352	1.823	0.912	2.901	DARK	0.34213319	.
112L2	 79	4	 8.450	1.785	0.892	2.840	DARK	0.37977083	.
112L2	 80	4	 8.835	2.011	1.006	3.200	DARK	0.36755826	.
112L2	 81	4	 8.960	1.968	0.984	3.132	DARK	0.38955949	.
112L2	 82	4	 9.270	2.011	1.005	3.199	DARK	0.32239399	.
112L2	 83	4	 9.345	2.035	1.018	3.239	DARK	0.32997717	.
112L2	 84	4	 9.400	2.129	1.064	3.388	DARK	0.39088735	.
112L2	 85	4	 9.610	2.125	1.062	3.381	DARK	0.35963300	.
112L2	 86	4	 9.852	2.206	1.103	3.510	DARK	0.39065023	.
112L2	 87	4	 9.895	2.150	1.075	3.421	LIGHT	0.40114146	.
112L2	 88	4	10.015	2.004	1.002	3.189	LIGHT	0.39617519	.
112L2	 89	4	10.093	1.965	0.983	3.127	LIGHT	0.39950261	.
112L2	 90	4	10.320	1.887	0.943	3.002	LIGHT	0.32630515	.
112L2	 91	4	10.495	1.692	0.846	2.693	LIGHT	0.31738632	.
112L2	 92	4	10.765	1.692	0.846	2.692	LIGHT	0.25161786	.
112L2	 93	4	10.907	1.793	0.896	2.853	LIGHT	0.23055392	.
112L2	 94	4	10.907	1.793	0.896	2.853	LIGHT	0.24706793	.
112L2	 95	4	10.910	1.790	0.895	2.848	LIGHT	0.24135216	.
112L2	 96	4	11.092	1.982	0.991	3.154	LIGHT	0.22293183	.
112L2	 97	4	11.092	1.982	0.991	3.154	LIGHT	0.23484568	.
112L2	 98	4	11.098	1.988	0.994	3.164	LIGHT	0.23525175	.
112L2	 99	4	11.098	1.988	0.994	3.164	LIGHT	0.22311751	.
112L2	100	4	11.098	1.988	0.994	3.164	LIGHT	0.22223139	.
112L2	101	4	11.128	1.952	0.976	3.106	LIGHT	0.26757896	.
112L2	102	4	11.172	1.906	0.953	3.033	LIGHT	0.25103506	.
112L2	103	4	11.205	1.945	0.973	3.095	LIGHT	0.26764353	.
112L2	104	4	11.207	1.948	0.974	3.100	LIGHT	0.27944030	.
112L2	105	4	11.207	1.948	0.974	3.100	DARK	0.29194224	.
112L2	106	4	11.340	2.100	1.050	3.342	DARK	0.30557510	.
112L2	107	4	11.630	2.377	1.188	3.782	DARK	0.30068955	.
112L2	108	4	11.685	2.333	1.166	3.712	DARK	0.33467375	.
112L2	109	4	11.685	2.333	1.166	3.712	DARK	0.38691573	.
112L2	110	4	11.785	2.471	1.236	3.932	DARK	0.42871677	.
112L2	111	4	11.858	2.497	1.249	3.973	DARK	0.44769542	.
WT	  1	4	 0.000	0.000	0.000	0.000	DARK	1.00000000	.
WT	  2	4	 0.153	0.123	0.062	0.196	DARK	0.89746997	.
WT	  3	4	 0.342	0.118	0.059	0.188	DARK	0.97522977	.
WT	  4	4	 0.408	0.116	0.058	0.185	DARK	0.88955332	.
WT	  5	4	 0.452	0.167	0.083	0.265	DARK	0.58217350	.
WT	  6	4	 0.495	0.144	0.072	0.230	DARK	0.41070020	.
